param,block,I_rms,I_max,D_min,I_min,asymmetry,flag_plus,flag_minus,clog_driver,source
temperature,forcing,0.0138896393727261,0.0214277899756414,0.00217326488471625,0.00179686132819847,0.526874883820116,OK,OK,0,"Campos2006/Manriquez seasonal"
influent_PAT,forcing,0.133140582783453,0.434294481903252,0.0189859228228471,0.230690604699979,0.0845352824243894,OK,OK,0,"Manriquez B.1 PAT (challenge multiplier)"
dispersivity,transport,0.0107627095834274,0.015775747266961,0.00261362949130811,-0.00510903326208631,0.211718306185331,OK,OK,0,"Schijven2013 T1 dispersivity"
transport_P,transport,0.00209893409677744,0.00260250659481881,-0.00398033347088567,0.00147024569185827,3.26502512615918,OK,OK,0,"Lund phase transfer"
attach_sand,transport,0.382375783779307,0.512549897420814,0.0898356560137579,0.158645795629536,0.314610846469164,OK,OK,0,"Diehl2025/Lund b_sand"
sand_pathogen,transport,0.343658964404228,0.349546229617222,0.0898356560137579,0,1.70500942657767,OK,OK,0,"Schijven2013 T4 sticking alpha (geo-mean)"
mu_HET,kinetics,0.000149696330566323,0.000234900470922429,4.33367287605568e-06,4.68975380879347e-06,0.333967682341415,OK,OK,0,"Campos2006 kgmaxa"
mu_PHO,kinetics,0.00123215684126763,0.00195766711764897,3.13040734772341e-05,3.40236641360582e-05,0.0441554682458986,OK,OK,0,"Campos2006 kgmaxb"
d_HET,kinetics,0.000737536035802367,0.00103194418730477,6.49387959221204e-05,-0.000135355396705047,0.245270327800552,OK,OK,0,"Campos2006 T3 kdb"
hydrolysis,kinetics,0.00159583144685733,0.00255800836333698,2.32187563694031e-05,-5.02291959142887e-05,0.338783679562681,OK,OK,0,"Campos2006 T3 kh"
theta_growth,kinetics,0.000278441058257801,0.00044767734366244,4.3126316515707e-06,-8.22765219161692e-06,0.291022810098129,OK,OK,0,"Campos2006 T2 theta_growth=1.047 (dev)"
theta_death,kinetics,0.00381604319775716,0.00575966144643495,0.00012179309924687,0.000178932368219163,0.051241388392618,OK,OK,0,"Campos2006 T2 theta_death=1.066 (dev)"
K_O2_HET,kinetics,0,0,0,0,0,OK,OK,0,"O2 half-sat (Reichert)"
K_DOM_HET,kinetics,0,0,0,0,0,OK,OK,0,"Campos2006 T3 ksCd"
K_HPO4_HET,kinetics,0,0,0,0,0,OK,OK,0,"Campos2006 T3 ksp (P-limiting)"
marker_growth,pathogen,0.000224798881779291,0.000363462376459248,2.11329361797241e-05,-4.57387977923728e-05,0.340903252336791,OK,OK,0,"Manriquez B.4 mu_PAT"
inactivation,pathogen,4.93895729286605e-05,8.03673103904619e-05,9.84191484071362e-06,1.06493600170567e-05,0.331507294641072,OK,OK,0,"Schijven2013 mul,mus; Manriquez B.4"
bacterivory,pathogen,0.00272132891468959,0.00295271652662059,0.00146264594364659,0.00151601544485172,0.615999993516746,OK,OK,0,"Manriquez B.4 p_PAT"
zeta_0,biofilm,0.0291197388448412,0.0427365326983128,0.00588070535147472,0.0146466903965644,0.221635398474947,OK,OK,0,"Cahn-Hilliard cohesion"
kappa,biofilm,0,0,0,0,0,OK,OK,0,"Cahn-Hilliard interfacial width (sub-grid)"
zeta_1,biofilm,0.0022755302196528,0.0047465343150407,0.000436500960406705,-0.0010320595365846,0.383215873769697,OK,OK,0,"Cahn-Hilliard stable-fraction parameter"
detach_scale,biofilm,2.39618318134935e-06,3.62477954509735e-06,3.08840735929738e-07,-6.68343811572097e-07,0.337676128489226,OK,OK,0,"detachment-law scale"
light_att_water,light,0.000328084529061867,0.000567089458563236,0,0,0.267989815143181,OK,OK,0,"Lund supernatant optical depth"
light_att_sand,light,0.000777822593590654,0.00131167237432463,0,0,1.3872008868356,OK,OK,0,"Lund sand-bed optical depth"
attenuation_P,light,9.52612816163134e-06,1.79836366370238e-05,0,0,0.33732448752036,OK,OK,0,"Lund biofilm self-shading (all particles)"
beta_porosity,biofilm,0.123810784950313,0.154350996489246,-0.130196822155112,0.10264661009518,4.16832096463226,OK,OK,0,"Lund beta=0.99; constrained to [0.95, 0.99]"
