param,block,I_rms,I_max,D_min,I_min,asymmetry,flag_plus,flag_minus,clog_driver,source
temperature,forcing,0.0136200014323358,0.0219027322658926,0.00376602731573328,0.00320300698840732,0.664707882918282,OK,OK,0,"Campos2006/Manriquez seasonal"
influent_PAT,forcing,0.132717900548991,0.434294481903252,0.0202608500109542,0.231602363431974,0.0966182710283278,OK,OK,0,"Manriquez B.1 PAT (challenge multiplier)"
dispersivity,transport,0.0135751544476753,0.0222078882488034,0.00333906084282931,-0.00637531337953563,0.206128830970843,OK,OK,0,"Schijven2013 T1 dispersivity"
transport_P,transport,0.00242577476249933,0.00309261918087118,-0.00445410582468508,0.00169361970501516,3.22796645926688,OK,OK,0,"Lund phase transfer"
attach_sand,transport,0.421819710978105,0.558258888271005,0.0961338041337603,0.17202886028977,0.314414316457927,OK,OK,0,"Diehl2025/Lund b_sand"
sand_pathogen,transport,0.340644415880016,0.347372298965278,0.0961338041337603,0,1.70392770715739,OK,OK,0,"Schijven2013 T4 sticking alpha (geo-mean)"
mu_HET,kinetics,2.1918299339822e-05,4.49770529364991e-05,5.40100300372437e-07,5.84446137307642e-07,0.333587389140872,OK,OK,0,"Campos2006 kgmaxa"
mu_PHO,kinetics,0.00153908826175938,0.00329835751339297,0,0,0.221373982127765,OK,OK,0,"Campos2006 kgmaxb"
d_HET,kinetics,0.000518434752699596,0.000735976303886085,6.33410058456518e-05,-0.00013347485251923,0.169657580359109,OK,OK,0,"Campos2006 T3 kdb"
hydrolysis,kinetics,0.00180419783741934,0.0037027878745161,2.13775622138757e-05,-4.6267598747089e-05,0.333069586946183,OK,OK,0,"Campos2006 T3 kh"
theta_growth,kinetics,0.000358052233291428,0.000770458096685355,6.49271278962971e-08,-1.23650253497767e-07,0.267521987583052,OK,OK,0,"Campos2006 T2 theta_growth=1.047 (dev)"
theta_death,kinetics,0.00517428567137972,0.0102971275523415,0.000122318220271533,0.000180469527842835,0.0669421514389546,OK,OK,0,"Campos2006 T2 theta_death=1.066 (dev)"
K_O2_HET,kinetics,0,0,0,0,0,OK,OK,0,"O2 half-sat (Reichert)"
K_DOM_HET,kinetics,0,0,0,0,0,OK,OK,0,"Campos2006 T3 ksCd"
K_HPO4_HET,kinetics,0,0,0,0,0,OK,OK,0,"Campos2006 T3 ksp (P-limiting)"
marker_growth,pathogen,3.47146561803871e-05,8.00260365682025e-05,3.87341520596829e-06,-8.38412765785984e-06,0.334955218255321,OK,OK,0,"Manriquez B.4 mu_PAT"
inactivation,pathogen,5.91604603048179e-05,0.000132499791183216,1.14324484334904e-05,1.23704148115049e-05,0.331587029418541,OK,OK,0,"Schijven2013 mul,mus; Manriquez B.4"
bacterivory,pathogen,0.00313748955446091,0.00353011009149471,0.00157384957985041,0.00163134908415929,0.569597303222681,OK,OK,0,"Manriquez B.4 p_PAT"
zeta_0,biofilm,0.0331254931065287,0.0462533963996738,0.00962201563327925,0.0152591474123274,0.19933246422465,OK,OK,0,"Cahn-Hilliard cohesion"
kappa,biofilm,0,0,0,0,0,OK,OK,0,"Cahn-Hilliard interfacial width (sub-grid)"
zeta_1,biofilm,0.00320814446173362,0.00746669765446869,0.000304312695887987,-0.000714736738979851,0.378484971659168,OK,OK,0,"Cahn-Hilliard stable-fraction parameter"
detach_scale,biofilm,2.68953659105352e-06,5.12766413255941e-06,3.31050537871747e-07,-7.16406666664726e-07,0.333330027307467,OK,OK,0,"detachment-law scale"
light_att_water,light,0.000230803256447276,0.000466196074060679,0,0,0.325753184503101,OK,OK,0,"Lund supernatant optical depth"
light_att_sand,light,0.000143564024472097,0.000254953393200332,0,0,3.03011932786105,OK,OK,0,"Lund sand-bed optical depth"
attenuation_P,light,1.44826723433939e-05,3.0090625228272e-05,0,0,0.33108092042798,OK,OK,0,"Lund biofilm self-shading (all particles)"
