param,block,I_rms,I_max,D_min,I_min,asymmetry,flag_plus,flag_minus,clog_driver,source
temperature,forcing,0.0233710447426614,0.0431283051304762,0.000674407593373172,3.42510615066808e-06,0.501275349285131,OK,OK,0,"Campos2006/Manriquez seasonal"
influent_PAT,forcing,0.147502854544986,0.434100844500166,0.033145806482955,0.0378096289528179,0.26695473675081,OK,OK,0,"Manriquez B.1 PAT (challenge multiplier)"
dispersivity,transport,0.0355007965215954,0.115553379689401,0.00175594605570228,-0.00393561263919141,0.235515979110897,OK,OK,0,"Schijven2013 T1 dispersivity"
transport_P,transport,0.00346564919177076,0.00856834657491806,-0.00539627523187253,0.00393379236662816,4.39655781034344,OK,OK,0,"Lund phase transfer"
attach_sand,transport,0.55972528502464,0.676318712969941,0.385769166053679,0.431768690900809,0.299639606670237,OK,OK,0,"Diehl2025/Lund b_sand"
sand_pathogen,transport,0.480820468102605,0.514482580400583,0.901302165986501,0.478754914927843,1.7328959054327,OK,OK,0,"Schijven2013 T4 sticking alpha (geo-mean)"
mu_HET,kinetics,0.000333647492192938,0.000583721887454174,7.18849666394572e-05,7.85810429349325e-05,0.308708000031738,OK,OK,0,"Campos2006 kgmaxa"
mu_PHO,kinetics,0.00202952390756765,0.0034762198555609,0.000557130601391509,0.000731113005008448,0.123137843952604,OK,OK,0,"Campos2006 kgmaxb"
d_HET,kinetics,0.00206736029359888,0.00337246593334686,0.000383709988291847,-0.000885398423228209,0.180802620049492,OK,OK,0,"Campos2006 T3 kdb"
hydrolysis,kinetics,0.00338137122618233,0.00576347685625643,0.000364408007529016,-0.000808965699116378,0.404300732220159,OK,OK,0,"Campos2006 T3 kh"
theta_growth,kinetics,0.00050761127343573,0.000868131325563089,8.88954718469837e-05,-0.000181155296195623,0.274946589794914,OK,OK,0,"Campos2006 T2 theta_growth=1.047 (dev)"
theta_death,kinetics,0.00605894779364647,0.00951748593798966,0.00150949599344619,0.0022860826259469,0.0401611533528111,OK,OK,0,"Campos2006 T2 theta_death=1.066 (dev)"
K_O2_HET,kinetics,0,0,0,0,0,OK,OK,0,"O2 half-sat (Reichert)"
K_DOM_HET,kinetics,5.01361487152815e-06,1.2488018019939e-05,4.01982140796342e-07,-1.13714862322828e-06,0.569646965141149,OK,OK,0,"Campos2006 T3 ksCd"
K_HPO4_HET,kinetics,0,0,0,0,0,OK,OK,0,"Campos2006 T3 ksp (P-limiting)"
marker_growth,pathogen,0.000543990210444848,0.000947454602437775,8.7645818750981e-05,0.000102927026860018,0.0863833048419302,OK,OK,0,"Manriquez B.4 mu_PAT"
inactivation,pathogen,0.000225402756430265,0.000382318703395507,1.17813618044638e-05,-2.60587699143925e-05,0.332958459195648,OK,OK,0,"Schijven2013 mul,mus; Manriquez B.4"
bacterivory,pathogen,0.00483824230663351,0.0107513915028778,0.0065968444470893,0.00659492460025931,0.526589395975786,OK,OK,0,"Manriquez B.4 p_PAT"
zeta_0,biofilm,0.0451685591851468,0.0626041754342034,0.0278372567898731,0.0298781587336592,0.171877364009971,OK,OK,0,"Cahn-Hilliard cohesion"
kappa,biofilm,0,0,0,0,0,OK,OK,0,"Cahn-Hilliard interfacial width (sub-grid)"
zeta_1,biofilm,0.00484351198368092,0.0100627473678997,0.00253932938786994,-0.0043674692230693,0.390929368160675,OK,OK,0,"Cahn-Hilliard stable-fraction parameter"
detach_scale,biofilm,4.19547566941804e-06,6.91081597535389e-06,4.52780413828791e-07,-1.28482135281755e-06,0.423985727422577,OK,OK,0,"detachment-law scale"
light_att_water,light,0.000554728023886751,0.0010785516623037,0.000259150619356996,0.000262175879862213,0.417313614545169,OK,OK,0,"Lund supernatant optical depth"
light_att_sand,light,0.000967136837266664,0.00166249154556243,-2.39998020951093e-05,-0.000135416954234864,1.45842589573406,OK,OK,0,"Lund sand-bed optical depth"
attenuation_P,light,2.17832383428355e-05,4.41902667886907e-05,9.20455756925342e-06,1.00585820705711e-05,0.358496702997407,OK,OK,0,"Lund biofilm self-shading (all particles)"
beta_porosity,biofilm,0.181959518747279,0.216217733416649,-0.215750336670427,0.155039249516215,4.27593720284388,OK,OK,0,"Lund beta=0.99; constrained to [0.95, 0.99]"
