param,block,I_rms,I_max,D_min,I_min,asymmetry,flag_plus,flag_minus,clog_driver,source
temperature,forcing,0.0165379287861412,0.0246663813721913,0.019252432303159,0.0164485373384242,0.665478435285685,OK,OK,0,"Campos2006/Manriquez seasonal"
influent_PAT,forcing,0.149991779492442,0.434088498621534,0.0309784608595091,0.0356797607432573,0.269982777412401,OK,OK,0,"Manriquez B.1 PAT (challenge multiplier)"
dispersivity,transport,0.0385234204698736,0.117961008496119,0.00379891406720778,-0.00747661262725997,0.231809108100602,OK,OK,0,"Schijven2013 T1 dispersivity"
transport_P,transport,0.0039478109536217,0.00983929661027223,-0.00581337405069338,0.00443631278026817,4.32848546060001,OK,OK,0,"Lund phase transfer"
attach_sand,transport,0.617862672658286,0.773384614387831,0.423302268073963,0.477365410431702,0.29215398285919,OK,OK,0,"Diehl2025/Lund b_sand"
sand_pathogen,transport,0.476060602085993,0.509586267846748,0.893865637768685,0.475036030737537,1.7293606776871,OK,OK,0,"Schijven2013 T4 sticking alpha (geo-mean)"
mu_HET,kinetics,7.25915316814432e-05,0.000108878626809129,9.67815411645478e-06,1.04720885950481e-05,0.333512042530721,OK,OK,0,"Campos2006 kgmaxa"
mu_PHO,kinetics,0.00274001326024249,0.00423511257316567,0.000597368651664376,0.000718353109573862,0.220866751956302,OK,OK,0,"Campos2006 kgmaxb"
d_HET,kinetics,0.00109240618659457,0.0020798125968585,0.000356116114140825,-0.000723109287160912,0.192609466721918,OK,OK,0,"Campos2006 T3 kdb"
hydrolysis,kinetics,0.00335911016512246,0.00510877744931396,0.000363172600644557,-0.000787189212314728,0.337280349672823,OK,OK,0,"Campos2006 T3 kh"
theta_growth,kinetics,0.000644275197026264,0.000995987105376441,8.52943460967204e-05,-0.000169057108703877,0.267186681355319,OK,OK,0,"Campos2006 T2 theta_growth=1.047 (dev)"
theta_death,kinetics,0.00648269005903996,0.00961597571759318,0.00155218217567288,0.00237654464213685,0.0620997735737495,OK,OK,0,"Campos2006 T2 theta_death=1.066 (dev)"
K_O2_HET,kinetics,0,0,0,0,0,OK,OK,0,"O2 half-sat (Reichert)"
K_DOM_HET,kinetics,0,0,0,0,0,OK,OK,0,"Campos2006 T3 ksCd"
K_HPO4_HET,kinetics,0,0,0,0,0,OK,OK,0,"Campos2006 T3 ksp (P-limiting)"
marker_growth,pathogen,0.00022003006908719,0.000321017898598112,1.01363152132938e-05,1.09634342382939e-05,0.335514281861142,OK,OK,0,"Manriquez B.4 mu_PAT"
inactivation,pathogen,0.000214735495180882,0.00031597551443425,1.04358881777844e-05,-2.25462084461928e-05,0.332015330162688,OK,OK,0,"Schijven2013 mul,mus; Manriquez B.4"
bacterivory,pathogen,0.00552448312286677,0.0122375557196858,0.0074906842324054,0.00744138241277666,0.50039761954791,OK,OK,0,"Manriquez B.4 p_PAT"
zeta_0,biofilm,0.0533648863102227,0.0782500482157623,0.0187694162161193,0.0338610027236822,0.151131740983757,OK,OK,0,"Cahn-Hilliard cohesion"
kappa,biofilm,0,0,0,0,0,OK,OK,0,"Cahn-Hilliard interfacial width (sub-grid)"
zeta_1,biofilm,0.00490698083472023,0.00999645310289968,0.0020151894128615,-0.00498482621991889,0.393964331338929,OK,OK,0,"Cahn-Hilliard stable-fraction parameter"
detach_scale,biofilm,3.90429277070155e-06,6.03207219505075e-06,4.69386351953371e-07,-1.01577212786655e-06,0.333331153938952,OK,OK,0,"detachment-law scale"
light_att_water,light,7.46469238340016e-05,0.000119801493955076,1.85157092078558e-05,-4.14222604095925e-05,0.270624735506268,OK,OK,0,"Lund supernatant optical depth"
light_att_sand,light,0.0001964044787228,0.00035765927633762,0.000134981903563591,6.81263876731042e-05,0.525090451329911,OK,OK,0,"Lund sand-bed optical depth"
attenuation_P,light,6.68567813626029e-06,1.00446288649048e-05,6.65132020960524e-07,-1.41551232941391e-06,0.326067442929136,OK,OK,0,"Lund biofilm self-shading (all particles)"
