param,block,I_rms,I_max,D_min,I_min,asymmetry,flag_plus,flag_minus,clog_driver,source
temperature,forcing,0.00426960435805915,0.00841580406787392,0.000580891323133711,0.000492613127458059,0.757828387852798,OK,OK,0,"Campos2006/Manriquez seasonal"
influent_PAT,forcing,0.0568435078243633,0.434294481903252,8.38788124366344e-05,8.9486014612653e-05,0.037458319156292,OK,OK,0,"Manriquez B.1 PAT (challenge multiplier)"
dispersivity,transport,0.751497822249949,4.57153849114488,0.00283301190438207,0.00297988185171195,0.195427750993084,OK,OK,0,"Schijven2013 T1 dispersivity"
transport_P,transport,0.000670802188493494,0.00119325927235108,-0.000407195834843216,0.000182355062133339,3.46400464749762,OK,OK,0,"Lund phase transfer"
attach_sand,transport,0.109279455088145,0.206242525361742,0.0118652698518983,0.0130048578257306,0.389851641628974,OK,OK,0,"Diehl2025/Lund b_sand"
sand_pathogen,transport,0.478567593647454,0.502323564520961,0.942958877878868,0.502206357304178,1.72492075852165,OK,OK,0,"Schijven2013 T4 sticking alpha (geo-mean)"
mu_HET,kinetics,9.26484506735289e-05,0.000668793945887017,1.37621110028741e-07,1.48272096499353e-07,0.415003140824599,OK,OK,0,"Campos2006 kgmaxa"
mu_PHO,kinetics,0.00343892942128378,0.0248810416801893,1.10850771784746e-05,1.33252703836313e-05,0.18110789454104,OK,OK,0,"Campos2006 kgmaxb"
d_HET,kinetics,0.000234801401361679,0.00168367801992097,2.99015289199206e-06,-6.38285550994241e-06,0.534336620847868,OK,OK,0,"Campos2006 T3 kdb"
hydrolysis,kinetics,0.000478218728864762,0.0010308249084635,4.43267555249108e-06,-9.59250890084173e-06,0.333597160110664,OK,OK,0,"Campos2006 T3 kh"
theta_growth,kinetics,0.000908737080191303,0.00652245080247049,1.5810509526315e-06,-3.12888560189624e-06,0.46481821501025,OK,OK,0,"Campos2006 T2 theta_growth=1.047 (dev)"
theta_death,kinetics,0.00115352277961994,0.00249990360188548,1.24325153207094e-05,1.90229241648969e-05,0.127367489511639,OK,OK,0,"Campos2006 T2 theta_death=1.066 (dev)"
K_O2_HET,kinetics,1.33287108266557e-13,1.66267846255819e-13,0,-1.41448798882121e-13,1,OK,OK,0,"O2 half-sat (Reichert)"
K_DOM_HET,kinetics,0,0,0,0,0,OK,OK,0,"Campos2006 T3 ksCd"
K_HPO4_HET,kinetics,0,0,0,0,0,OK,OK,0,"Campos2006 T3 ksp (P-limiting)"
marker_growth,pathogen,3.38203113470935e-06,9.07194784166213e-06,2.66465827113496e-07,-5.76673495335223e-07,0.334891976565985,OK,OK,0,"Manriquez B.4 mu_PAT"
inactivation,pathogen,5.48047142653187e-06,1.4989775093624e-05,6.05401783693865e-07,6.55071813578237e-07,0.331426419690059,OK,OK,0,"Schijven2013 mul,mus; Manriquez B.4"
bacterivory,pathogen,0.00129618200239269,0.00224794663925787,0.000243511046363111,0.000256733207223062,0.554853716545299,OK,OK,0,"Manriquez B.4 p_PAT"
zeta_0,biofilm,0.00824489552700246,0.0133382898079638,1.08497838396428e-06,-2.34783468322543e-06,0.220342122643387,OK,OK,0,"Cahn-Hilliard cohesion"
kappa,biofilm,0,0,0,0,0,OK,OK,0,"Cahn-Hilliard interfacial width (sub-grid)"
zeta_1,biofilm,0.00105867659117907,0.00170250813879325,2.05128173959811e-06,2.21945240767385e-06,0.360467752284742,OK,OK,0,"Cahn-Hilliard stable-fraction parameter"
detach_scale,biofilm,3.51097730527264e-07,7.54451121324634e-07,3.74339636718957e-09,-8.10086812278403e-09,0.33333195543898,OK,OK,0,"detachment-law scale"
light_att_water,light,0.00011302508479022,0.000218169017470788,7.7682885112236e-07,7.55535814019675e-07,0.26806972409145,OK,OK,0,"Lund supernatant optical depth"
light_att_sand,light,0.000127050704307876,0.000270780387938773,5.08297573967656e-06,2.94218884916552e-06,2.58231820200919,OK,OK,0,"Lund sand-bed optical depth"
attenuation_P,light,1.86593276610279e-06,4.24967223321605e-06,4.42689623153525e-09,4.78429805141235e-09,0.331683304292608,OK,OK,0,"Lund biofilm self-shading (all particles)"
