run,influent_PHO,mu_PHO,d_PHO,flag,o2_max_ratio,o2_out_final,o2_min_final,pho_biofilm_mass,phib_peak
baseline,0.01,5.5,0.4,OK,1.19867922282043,0.0102200933466883,0.00706587672878045,0.293063148524171,0.333653885437224
influent_PHO_x0.1,0.001,5.5,0.4,OK,1.03182622507465,0.00925232620188604,0.00799392808747345,0.0354379092539183,0.142198859009157
influent_PHO_x0.3,0.003,5.5,0.4,OK,1.06518247801434,0.00946911550432526,0.00788535600061794,0.0982755458260001,0.176202839542552
influent_PHO_x3,0.03,5.5,0.4,OK,1.69302653459519,0.0122966357728971,0.00625592967789318,0.71598071826862,0.533401703552211
mu_PHO_x0.25,0.01,1.375,0.4,OK,1.14506799629911,0.0102611953568864,0.00704265538226881,0.291467509821985,0.33515144543706
mu_PHO_x0.5,0.01,2.75,0.4,OK,1.16394204713813,0.0102517861239073,0.0070512294566765,0.292042134556599,0.334604618342541
mu_PHO_x2,0.01,11,0.4,OK,1.25658866176677,0.0101314629208302,0.00708651341438875,0.294708901650467,0.332172889984969
d_PHO_x0.5,0.01,5.5,0.2,OK,1.15373819384563,0.00978969473300149,0.00675071475998422,0.348085789306799,0.345865472226719
d_PHO_x2,0.01,5.5,0.8,OK,1.24513674572885,0.0107150885290233,0.00746113770517965,0.215336051932903,0.316968840268968
d_PHO_x4,0.01,5.5,1.6,OK,1.26669899580316,0.0110549274542743,0.00778726888874194,0.131896921577799,0.300240297489088
suppressed_mild,0.003,2.75,0.8,OK,1.06935349489547,0.00964099633632991,0.00796562305742351,0.0716352391274339,0.17016285650565
suppressed_strong,0.001,1.375,1.6,OK,1.02985148938947,0.00935838690775166,0.00803596065885914,0.0153535737172332,0.142019092825337
