run,influent_PHO,mu_PHO,d_PHO,flag,o2_max_ratio,o2_out_final,o2_min_final,pho_biofilm_mass,phib_peak
baseline,0.01,5.5,0.4,OK,1.00370608699717,0.00636372695283023,0.00545704255549275,0.231903087917647,0.272439065658291
influent_PHO_x0.1,0.001,5.5,0.4,OK,1.00381188389183,0.00883736936169262,0.00783229029788477,0.0278705584491194,0.142118920109371
influent_PHO_x0.3,0.003,5.5,0.4,OK,1.00497622931472,0.00823483258336129,0.00739705851448483,0.0773066255319144,0.154282834133006
influent_PHO_x3,0.03,5.5,0.4,OK,1.09864105492478,0.00278548918451188,0.00228122071890204,0.578879742256782,0.411986354277907
mu_PHO_x0.25,0.01,1.375,0.4,OK,1.00250570185737,0.00638973064607355,0.00547410016602681,0.230684431895307,0.273788078025323
mu_PHO_x0.5,0.01,2.75,0.4,OK,1.00294132730511,0.00638033143538812,0.00546795887850958,0.231121949540833,0.273296881695601
mu_PHO_x2,0.01,11,0.4,OK,1.00491158774977,0.00633720921378597,0.00543944350754966,0.233170986119043,0.271094590736152
d_PHO_x0.5,0.01,5.5,0.2,OK,1.00289698657272,0.00560033590662916,0.00499133219057169,0.272786912865668,0.276788545638403
d_PHO_x2,0.01,5.5,0.8,OK,1.02694110955269,0.00753526119802148,0.00614626833017343,0.174813739296911,0.268198577389876
d_PHO_x4,0.01,5.5,1.6,OK,1.11386760883397,0.00887066379685672,0.0068953407875553,0.112726860431077,0.26673474788902
suppressed_mild,0.003,2.75,0.8,OK,1.00455436355961,0.00864853138010818,0.00762019824982115,0.0580263142844041,0.152863905796315
suppressed_strong,0.001,1.375,1.6,OK,1.01313310846801,0.00913333684515729,0.00796368702699263,0.0131278150080152,0.141992693555308
