source,description,parameter,units,minimum,maximum,average,reference
Table 3,Initial filtration coefficient for sand filter,lambda0,m-1,10,60,35,Herzig et al. (1970)
Table 3,Initial filtration coefficient for schmutzdecke,lambdaS0,m-1,100,300,200,Mbwette (1989)
Table 3,Bulk factor for particle,b,L mg-1,3.77E-07,1.90E-05,9.69E-06,Ojha (1993)
Table 3,Empirical constant,a1,m-1,13.90,41.70,27.80,Ojha (1993)
Table 3,Empirical constant,a2,m-1,38.10,114.30,76.20,Ojha (1993)
Table 3,Empirical constant,c1,,0.67,20.00,10.33,Ojha (1993)
Table 3,Empirical constant,c2,,1.70,60.00,30.85,Ojha (1993)
Table 3,Schmutzdecke growth rate,Ain,mg Chla m-2 h-1,0.5,2.0,1.3,Campos et al. (2002)
Table 3,Initial porosity of clean filter bed,E0,,0.3732,0.4103,0.3918,Michael Chipps (personal communication February 7 2000)
Table 3,Initial porosity of schmutzdecke layer,E0s,,0.7,0.9,0.80,Mbwette and Graham (1987)
Table 3,Bacterial death rate,kdb,h-1,0.0021,0.1700,0.0860,Brown and Barnwell (1987)
Table 3,Protozoa death rate,kdp,h-1,0.0001,0.0030,0.0016,Jorgensen et al. (1991)
Table 3,Carbon dissolution rate,kp,h-1,0.0038,0.0046,0.0042,Chapra (1997)
Table 3,Carbon hydrolysis rate,kh,h-1,0.0028,0.0034,0.0031,Chapra (1997)
Table 3,Nitrification rate,kn,h-1,0.0042,0.0330,0.0186,Bowie et al. (1985)
Table 3,Maximum growth rate of algae,kgmaxb,h-1,0.0417,0.1250,0.0834,Brown and Barnwell (1987)
Table 3,Maximum growth rate of bacteria,kgmaxa,h-1,0.029,0.042,0.036,Jorgensen (1983)
Table 3,Maximum growth rate of protozoa,kgmaxp,h-1,0.0063,0.0125,0.0094,Jorgensen et al. (1991)
Table 3,Dissolved organic carbon half-saturation constant,ksCd,mg C L-1,0.8001,0.9779,0.8890,Chapra (1997)
Table 3,Algae half-saturation constant for protozoa growth,ksa,mg Chla L-1,0.0100,0.0600,0.0350,Bowie et al. (1985)
Table 3,Bacterial half-saturation constant for protozoa growth,ksb,mg C L-1,0.1500,0.2000,0.1750,Bowie et al. (1985)
Table 3,Phosphorus half-saturation constant,ksp,mg P L-1,0.0010,0.0500,0.0255,Brown and Barnwell (1987)
Table 3,Nitrate half-saturation constant,ksn,mg N L-1,0.010,0.300,0.155,Brown and Barnwell (1987)
Table 3,Algae loss due to respiration and excretion,kra,h-1,0.0020,0.0210,0.0115,Brown and Barnwell (1987)
Table 3,Endogenous respiration rate for bacterial biomass,krb,h-1,0.0380,0.1050,0.0715,Bowie et al. (1985)
Table 3,Endogenous respiration rate for protozoa,krp,h-1,0.0004,0.0030,0.0017,Bowie et al. (1985)
Table 3,Half-saturation constant for light,ksl,ly day-1,17.28,51.84,34.56,Bowie et al. (1985)
Table 3,Photoperiod,fd,,0.33,0.67,0.50,Chapra (1997)
Table 3,Maximum light intensity,xlm,ly day-1,400,700,550,Chapra (1997)
Table 3,Light extinction due to particle-free water and color,kew,m-1,0.04,0.06,0.05,Chapra (1997)
Table 3,Ammonia preference half-saturation constant,kam,mg N L-1,0.04,0.06,0.05,Chapra (1997)
Table 3,Grazing efficiency of protozoa on algae and bacteria,En,,0.40,0.80,0.60,Chapra (1997)
Table 3,Grazing rate of protozoa on algae,Cgz,L mg-1 C h-1,0.0208,0.2083,0.1146,Chapra (1997)
Table 3,Bacterial cell yield,Yb,g C cells g-1 C substrate,0.450,0.550,0.500,Chapra (1997)
Table 3,Protozoa cell yield,Yp,g C cells g-1 C substrate,0.567,0.693,0.630,Jorgensen (1983)
