source,parameter_set,E0s_run1,E0s_run2,Ain_run1,Ain_run2,Eh_run1,Eh_run2,lambdaS0_run1,lambdaS0_run2,ksa_run1,ksa_run2,krp_run1,krp_run2,alpha_run1,alpha_run2
Table 4,RB1,0.83,0.87,1.30,0.70,0.78,0.79,211.50,273.49,0.03,0.05,6.65E-04,2.99E-03,1.01,0.70
Table 4,RB2,0.82,0.87,1.40,0.62,0.56,0.70,250.93,264.97,0.01,0.05,7.90E-03,2.94E-03,1.01,0.70
Table 4,RB3,0.82,0.87,1.31,0.65,0.54,0.76,276.84,263.20,0.03,0.02,1.18E-03,2.57E-03,1.01,0.70
Table 4,RB4,0.82,0.88,1.33,0.65,0.65,0.74,215.51,291.76,0.03,0.05,8.86E-04,1.97E-03,1.01,0.70
Table 4,RB5,0.83,0.87,1.35,0.68,0.70,0.80,272.12,252.49,0.03,0.05,8.25E-04,2.63E-03,1.01,0.70
Table 4,RB6,0.81,0.87,1.37,0.63,0.55,0.67,282.73,289.97,0.03,0.03,2.50E-03,2.59E-03,1.01,0.70
Table 4,RB7,0.82,0.87,1.32,0.62,0.59,0.67,228.08,242.94,0.04,0.04,8.23E-04,2.90E-03,1.01,0.70
Table 4,RB8,0.84,0.87,1.10,0.66,0.73,0.63,247.97,267.77,0.05,0.03,8.07E-04,1.78E-03,1.01,0.70
Table 4,RB9,0.81,0.87,1.37,0.66,0.64,0.60,246.96,251.16,0.04,0.04,1.92E-03,2.01E-03,1.01,0.70
Table 4,RB10,0.82,0.88,1.32,0.62,0.76,0.47,271.96,291.93,0.03,0.03,1.96E-03,6.51E-04,1.01,0.70
Table 4,Average value,0.82,0.87,1.32,0.65,0.65,0.68,250.46,268.97,0.03,0.04,1.95E-03,2.30E-03,1.01,0.70
