panel,organism,sand_group,day,concentration,series_type,experiment,confidence,shape,units
D_ECWR1,ECWR1,D,0.056,0.2583,breakthrough,D2,medium,square,cfp/ml
D_ECWR1,ECWR1,D,0.09,9686,breakthrough,D3,low,triangle,cfp/ml
D_ECWR1,ECWR1,D,0.092,7391,breakthrough,D3,low,triangle,cfp/ml
D_ECWR1,ECWR1,D,0.099,1.418,breakthrough,D1,low,circle,cfp/ml
D_ECWR1,ECWR1,D,0.118,0.2546,breakthrough,D2,medium,square,cfp/ml
D_ECWR1,ECWR1,D,0.137,3.141,breakthrough,D2,low,square,cfp/ml
D_ECWR1,ECWR1,D,0.146,0.001572,breakthrough,D3,medium,triangle,cfp/ml
D_ECWR1,ECWR1,D,0.155,0.01119,breakthrough,D1,low,circle,cfp/ml
D_ECWR1,ECWR1,D,0.16,1.29,breakthrough,D1,low,circle,cfp/ml
D_ECWR1,ECWR1,D,0.177,0.002867,breakthrough,D3,medium,triangle,cfp/ml
D_ECWR1,ECWR1,D,0.178,3.623,breakthrough,D1,low,circle,cfp/ml
D_ECWR1,ECWR1,D,0.209,2.758,breakthrough,D3,low,triangle,cfp/ml
D_ECWR1,ECWR1,D,0.21,0.02008,breakthrough,D1,low,circle,cfp/ml
D_ECWR1,ECWR1,D,0.255,2.879,breakthrough,D2,low,square,cfp/ml
D_ECWR1,ECWR1,D,0.257,1.117e+04,breakthrough,D3,low,triangle,cfp/ml
D_ECWR1,ECWR1,D,0.259,8329,breakthrough,D3,low,triangle,cfp/ml
D_ECWR1,ECWR1,D,0.262,6.178,breakthrough,D2,low,square,cfp/ml
D_ECWR1,ECWR1,D,0.264,0.01091,breakthrough,D3,low,triangle,cfp/ml
D_ECWR1,ECWR1,D,0.27,0.02738,breakthrough,D3,low,triangle,cfp/ml
D_ECWR1,ECWR1,D,0.298,0.006503,breakthrough,D3,low,triangle,cfp/ml
D_ECWR1,ECWR1,D,0.311,0.03196,breakthrough,D1,low,circle,cfp/ml
D_ECWR1,ECWR1,D,0.342,1.187e+04,breakthrough,D2,low,square,cfp/ml
D_ECWR1,ECWR1,D,0.342,7397,breakthrough,D3,low,triangle,cfp/ml
D_ECWR1,ECWR1,D,0.348,0.01615,breakthrough,D3,low,triangle,cfp/ml
D_ECWR1,ECWR1,D,0.356,0.04127,breakthrough,,low,unknown,cfp/ml
D_ECWR1,ECWR1,D,0.389,0.00709,breakthrough,D3,low,triangle,cfp/ml
D_ECWR1,ECWR1,D,0.391,0.0533,breakthrough,D3,low,triangle,cfp/ml
D_ECWR1,ECWR1,D,0.409,4.997,breakthrough,D3,low,triangle,cfp/ml
D_ECWR1,ECWR1,D,0.823,0.1193,breakthrough,D3,medium,triangle,cfp/ml
D_ECWR1,ECWR1,D,0.827,12.21,breakthrough,D3,high,triangle,cfp/ml
D_ECWR1,ECWR1,D,0.841,1.06e+04,breakthrough,D2,low,square,cfp/ml
D_ECWR1,ECWR1,D,0.843,0.007212,breakthrough,D3,medium,triangle,cfp/ml
D_ECWR1,ECWR1,D,0.927,1.526e+04,breakthrough,D2,low,square,cfp/ml
D_ECWR1,ECWR1,D,0.928,7451,breakthrough,D3,low,triangle,cfp/ml
D_ECWR1,ECWR1,D,0.988,0.01179,breakthrough,D3,medium,triangle,cfp/ml
D_ECWR1,ECWR1,D,1.013,1.25e+04,breakthrough,D2,low,square,cfp/ml
D_ECWR1,ECWR1,D,1.052,0.02841,breakthrough,D3,medium,triangle,cfp/ml
D_ECWR1,ECWR1,D,1.103,0.1437,breakthrough,D3,low,triangle,cfp/ml
D_ECWR1,ECWR1,D,1.129,0.06437,breakthrough,D3,low,triangle,cfp/ml
D_ECWR1,ECWR1,D,1.165,0.0833,breakthrough,D1,low,circle,cfp/ml
D_ECWR1,ECWR1,D,1.178,3031,breakthrough,D3,medium,triangle,cfp/ml
D_ECWR1,ECWR1,D,1.179,6034,breakthrough,D2,low,square,cfp/ml
D_ECWR1,ECWR1,D,1.213,0.1735,breakthrough,D3,low,triangle,cfp/ml
D_ECWR1,ECWR1,D,1.213,0.02433,breakthrough,D3,medium,triangle,cfp/ml
D_ECWR1,ECWR1,D,1.25,0.1338,breakthrough,D1,low,circle,cfp/ml
D_ECWR1,ECWR1,D,1.259,10.12,breakthrough,D2,high,square,cfp/ml
D_ECWR1,ECWR1,D,1.262,2445,breakthrough,D2,medium,square,cfp/ml
D_ECWR1,ECWR1,D,1.271,0.08881,breakthrough,D1,low,circle,cfp/ml
D_ECWR1,ECWR1,D,1.84,0.04561,breakthrough,D1,low,circle,cfp/ml
D_ECWR1,ECWR1,D,1.845,4.406,breakthrough,D2,medium,square,cfp/ml
