panel,organism,sand_group,day,concentration,series_type,experiment,confidence,shape,units
D_MS2,MS2,D,0.078,10.4,breakthrough,D3,low,triangle,pfp/ml
D_MS2,MS2,D,0.087,6.449e+04,breakthrough,,low,unknown,pfp/ml
D_MS2,MS2,D,0.09,4.623e+04,breakthrough,D3,low,triangle,pfp/ml
D_MS2,MS2,D,0.093,2.159,breakthrough,D3,medium,triangle,pfp/ml
D_MS2,MS2,D,0.104,16.21,breakthrough,D3,low,triangle,pfp/ml
D_MS2,MS2,D,0.105,32.16,breakthrough,D1,low,circle,pfp/ml
D_MS2,MS2,D,0.106,0.819,breakthrough,D3,high,triangle,pfp/ml
D_MS2,MS2,D,0.115,4.786,breakthrough,D3,low,triangle,pfp/ml
D_MS2,MS2,D,0.136,55.87,breakthrough,D3,low,triangle,pfp/ml
D_MS2,MS2,D,0.147,71.03,breakthrough,D1,low,circle,pfp/ml
D_MS2,MS2,D,0.17,4.347e+04,breakthrough,D2,low,square,pfp/ml
D_MS2,MS2,D,0.173,6.011e+04,breakthrough,D3,low,triangle,pfp/ml
D_MS2,MS2,D,0.173,2.423,breakthrough,D3,medium,triangle,pfp/ml
D_MS2,MS2,D,0.238,28.05,breakthrough,D3,low,triangle,pfp/ml
D_MS2,MS2,D,0.256,4.96e+04,breakthrough,D3,low,triangle,pfp/ml
D_MS2,MS2,D,0.281,46.75,breakthrough,D3,low,triangle,pfp/ml
D_MS2,MS2,D,0.293,11.35,breakthrough,D3,low,triangle,pfp/ml
D_MS2,MS2,D,0.338,6.322e+04,breakthrough,D3,low,triangle,pfp/ml
D_MS2,MS2,D,0.378,153.9,breakthrough,D2,medium,square,pfp/ml
D_MS2,MS2,D,0.392,7.699,breakthrough,D3,low,triangle,pfp/ml
D_MS2,MS2,D,0.403,42.69,breakthrough,D3,low,triangle,pfp/ml
D_MS2,MS2,D,0.799,182.1,breakthrough,D2,medium,square,pfp/ml
D_MS2,MS2,D,0.836,11.1,breakthrough,D3,medium,triangle,pfp/ml
D_MS2,MS2,D,0.839,5.558e+04,breakthrough,D2,low,square,pfp/ml
D_MS2,MS2,D,0.839,3.694e+04,breakthrough,D2,low,square,pfp/ml
D_MS2,MS2,D,0.848,187.7,breakthrough,,medium,unknown,pfp/ml
D_MS2,MS2,D,0.923,7.852e+04,breakthrough,D2,low,square,pfp/ml
D_MS2,MS2,D,1.006,7.419e+04,breakthrough,D1,low,circle,pfp/ml
D_MS2,MS2,D,1.009,4.747e+04,breakthrough,D3,low,triangle,pfp/ml
D_MS2,MS2,D,1.01,13.54,breakthrough,D3,low,triangle,pfp/ml
D_MS2,MS2,D,1.048,6.454,breakthrough,D1,medium,circle,pfp/ml
D_MS2,MS2,D,1.089,3.272e+04,breakthrough,D3,low,triangle,pfp/ml
D_MS2,MS2,D,1.09,4.611e+04,breakthrough,,low,unknown,pfp/ml
D_MS2,MS2,D,1.172,2.008e+04,breakthrough,D2,medium,square,pfp/ml
D_MS2,MS2,D,1.188,16.2,breakthrough,D3,low,triangle,pfp/ml
D_MS2,MS2,D,1.241,24.39,breakthrough,D3,low,triangle,pfp/ml
D_MS2,MS2,D,1.253,123.7,breakthrough,D2,high,square,pfp/ml
D_MS2,MS2,D,1.256,1.352e+04,breakthrough,D1,medium,circle,pfp/ml
D_MS2,MS2,D,1.278,21.72,breakthrough,D3,low,triangle,pfp/ml
D_MS2,MS2,D,1.834,24.98,breakthrough,D2,medium,square,pfp/ml
D_MS2,MS2,D,1.839,10.14,breakthrough,D1,medium,circle,pfp/ml
D_MS2,MS2,D,1.84,1.685,breakthrough,D3,medium,triangle,pfp/ml
D_MS2,MS2,D,1.991,3.943,breakthrough,D3,low,triangle,pfp/ml
D_MS2,MS2,D,2.005,13.57,breakthrough,D2,low,square,pfp/ml
D_MS2,MS2,D,2.006,1.88,breakthrough,D1,low,circle,pfp/ml
D_MS2,MS2,D,2.012,5.388,breakthrough,D3,low,triangle,pfp/ml
