panel,organism,sand_group,day,concentration,series_type,experiment,confidence,shape,units
G_ECWR1,ECWR1,G,0.063,3707,breakthrough,G2,low,square,cfp/ml
G_ECWR1,ECWR1,G,0.082,14.24,breakthrough,,medium,unknown,cfp/ml
G_ECWR1,ECWR1,G,0.09,6.948e+04,breakthrough,G2,low,square,cfp/ml
G_ECWR1,ECWR1,G,0.09,2652,breakthrough,G1,low,circle,cfp/ml
G_ECWR1,ECWR1,G,0.093,28.52,breakthrough,,low,unknown,cfp/ml
G_ECWR1,ECWR1,G,0.111,61.78,breakthrough,,medium,unknown,cfp/ml
G_ECWR1,ECWR1,G,0.117,12.94,breakthrough,G1,medium,circle,cfp/ml
G_ECWR1,ECWR1,G,0.119,6407,breakthrough,,low,unknown,cfp/ml
G_ECWR1,ECWR1,G,0.174,5.241e+04,breakthrough,G2,low,square,cfp/ml
G_ECWR1,ECWR1,G,0.179,2070,breakthrough,G2,low,square,cfp/ml
G_ECWR1,ECWR1,G,0.221,80.91,breakthrough,G1,medium,circle,cfp/ml
G_ECWR1,ECWR1,G,0.242,5360,breakthrough,G1,low,circle,cfp/ml
G_ECWR1,ECWR1,G,0.258,6.948e+04,breakthrough,G2,low,square,cfp/ml
G_ECWR1,ECWR1,G,0.302,2738,breakthrough,G2,low,square,cfp/ml
G_ECWR1,ECWR1,G,0.342,8.483e+04,breakthrough,G2,low,square,cfp/ml
G_ECWR1,ECWR1,G,0.362,6521,breakthrough,G2,low,square,cfp/ml
G_ECWR1,ECWR1,G,0.407,7136,breakthrough,,low,unknown,cfp/ml
G_ECWR1,ECWR1,G,0.426,3502,breakthrough,,low,unknown,cfp/ml
G_ECWR1,ECWR1,G,0.428,5.558e+04,breakthrough,G2,low,square,cfp/ml
G_ECWR1,ECWR1,G,0.51,5.757e+04,breakthrough,G2,low,square,cfp/ml
G_ECWR1,ECWR1,G,0.514,3085,breakthrough,G2,low,square,cfp/ml
G_ECWR1,ECWR1,G,0.853,57.5,breakthrough,G1,low,circle,cfp/ml
G_ECWR1,ECWR1,G,0.864,5089,breakthrough,G1,low,circle,cfp/ml
G_ECWR1,ECWR1,G,0.913,3252,breakthrough,,low,unknown,cfp/ml
G_ECWR1,ECWR1,G,0.931,5.365e+04,breakthrough,G2,medium,square,cfp/ml
G_ECWR1,ECWR1,G,0.968,53.04,breakthrough,G1,low,circle,cfp/ml
G_ECWR1,ECWR1,G,0.997,40.15,breakthrough,,low,unknown,cfp/ml
G_ECWR1,ECWR1,G,1.016,4.192e+04,breakthrough,G2,medium,square,cfp/ml
G_ECWR1,ECWR1,G,1.046,75.42,breakthrough,,low,unknown,cfp/ml
G_ECWR1,ECWR1,G,1.064,38.08,breakthrough,G1,low,circle,cfp/ml
G_ECWR1,ECWR1,G,1.084,5736,breakthrough,G2,low,square,cfp/ml
G_ECWR1,ECWR1,G,1.099,3.684e+04,breakthrough,G2,medium,square,cfp/ml
G_ECWR1,ECWR1,G,1.118,27.51,breakthrough,G1,low,circle,cfp/ml
G_ECWR1,ECWR1,G,1.138,2798,breakthrough,G1,low,circle,cfp/ml
G_ECWR1,ECWR1,G,1.169,18.48,breakthrough,,low,unknown,cfp/ml
G_ECWR1,ECWR1,G,1.186,6172,breakthrough,G2,low,square,cfp/ml
G_ECWR1,ECWR1,G,1.205,10.09,breakthrough,G1,medium,circle,cfp/ml
G_ECWR1,ECWR1,G,1.207,4428,breakthrough,,low,unknown,cfp/ml
G_ECWR1,ECWR1,G,1.245,3449,breakthrough,G1,low,circle,cfp/ml
G_ECWR1,ECWR1,G,1.296,3515,breakthrough,G2,low,square,cfp/ml
G_ECWR1,ECWR1,G,1.329,4089,breakthrough,,low,unknown,cfp/ml
G_ECWR1,ECWR1,G,1.877,8.078,breakthrough,G1,medium,circle,cfp/ml
G_ECWR1,ECWR1,G,1.938,335.4,breakthrough,G2,medium,square,cfp/ml
G_ECWR1,ECWR1,G,2.046,7.157,breakthrough,G1,medium,circle,cfp/ml
G_ECWR1,ECWR1,G,2.108,444.6,breakthrough,G2,medium,square,cfp/ml
G_ECWR1,ECWR1,G,2.255,5.954,breakthrough,G1,medium,circle,cfp/ml
G_ECWR1,ECWR1,G,2.32,241.4,breakthrough,G2,medium,square,cfp/ml
G_ECWR1,ECWR1,G,2.95,143.9,breakthrough,G2,medium,square,cfp/ml
G_ECWR1,ECWR1,G,3.118,143.9,breakthrough,G2,medium,square,cfp/ml
G_ECWR1,ECWR1,G,3.243,214.6,breakthrough,G2,medium,square,cfp/ml
G_ECWR1,ECWR1,G,0.057,3684,seeding,,low,filled,cfp/ml
G_ECWR1,ECWR1,G,0.09,6.948e+04,seeding,,low,filled,cfp/ml
G_ECWR1,ECWR1,G,0.123,4597,seeding,,low,filled,cfp/ml
G_ECWR1,ECWR1,G,0.174,5.241e+04,seeding,,low,filled,cfp/ml
G_ECWR1,ECWR1,G,0.184,5598,seeding,,low,filled,cfp/ml
G_ECWR1,ECWR1,G,0.248,5350,seeding,,low,filled,cfp/ml
G_ECWR1,ECWR1,G,0.258,6.948e+04,seeding,,low,filled,cfp/ml
G_ECWR1,ECWR1,G,0.342,8.483e+04,seeding,,low,filled,cfp/ml
G_ECWR1,ECWR1,G,0.428,5.558e+04,seeding,,low,filled,cfp/ml
G_ECWR1,ECWR1,G,0.51,5.757e+04,seeding,,low,filled,cfp/ml
G_ECWR1,ECWR1,G,0.867,5046,seeding,,low,filled,cfp/ml
G_ECWR1,ECWR1,G,0.931,5.365e+04,seeding,,low,filled,cfp/ml
G_ECWR1,ECWR1,G,0.957,5264,seeding,,low,filled,cfp/ml
G_ECWR1,ECWR1,G,1.016,4.192e+04,seeding,,low,filled,cfp/ml
G_ECWR1,ECWR1,G,1.099,3.684e+04,seeding,,low,filled,cfp/ml
