panel,organism,sand_group,day,concentration,series_type,experiment,confidence,shape,units
G_MS2,MS2,G,0.049,2702,breakthrough,G1,low,circle,pfp/ml
G_MS2,MS2,G,0.069,1023,breakthrough,G1,medium,circle,pfp/ml
G_MS2,MS2,G,0.088,8384,breakthrough,G2,low,square,pfp/ml
G_MS2,MS2,G,0.103,102.2,breakthrough,,medium,unknown,pfp/ml
G_MS2,MS2,G,0.114,21.5,breakthrough,G1,high,circle,pfp/ml
G_MS2,MS2,G,0.12,162.5,breakthrough,G1,low,circle,pfp/ml
G_MS2,MS2,G,0.133,2054,breakthrough,G1,low,circle,pfp/ml
G_MS2,MS2,G,0.142,234,breakthrough,,low,unknown,pfp/ml
G_MS2,MS2,G,0.148,88.55,breakthrough,,medium,unknown,pfp/ml
G_MS2,MS2,G,0.17,7113,breakthrough,G2,low,square,pfp/ml
G_MS2,MS2,G,0.24,4398,breakthrough,G1,low,circle,pfp/ml
G_MS2,MS2,G,0.254,6948,breakthrough,G2,low,square,pfp/ml
G_MS2,MS2,G,0.277,510.5,breakthrough,,low,unknown,pfp/ml
G_MS2,MS2,G,0.308,4593,breakthrough,G1,low,circle,pfp/ml
G_MS2,MS2,G,0.333,268.7,breakthrough,G1,low,circle,pfp/ml
G_MS2,MS2,G,0.338,8997,breakthrough,G2,low,square,pfp/ml
G_MS2,MS2,G,0.42,7814,breakthrough,G2,low,square,pfp/ml
G_MS2,MS2,G,0.506,8384,breakthrough,G2,low,square,pfp/ml
G_MS2,MS2,G,0.515,3418,breakthrough,G1,low,circle,pfp/ml
G_MS2,MS2,G,0.525,2267,breakthrough,G2,low,square,pfp/ml
G_MS2,MS2,G,0.6,185.1,breakthrough,G1,medium,circle,pfp/ml
G_MS2,MS2,G,0.846,178.6,breakthrough,,low,unknown,pfp/ml
G_MS2,MS2,G,0.913,307.4,breakthrough,G1,low,circle,pfp/ml
G_MS2,MS2,G,0.923,7632,breakthrough,G2,low,square,pfp/ml
G_MS2,MS2,G,0.928,2237,breakthrough,,high,unknown,pfp/ml
G_MS2,MS2,G,0.953,5114,breakthrough,G1,low,circle,pfp/ml
G_MS2,MS2,G,0.962,388.9,breakthrough,G1,low,circle,pfp/ml
G_MS2,MS2,G,1.005,460.4,breakthrough,G1,low,circle,pfp/ml
G_MS2,MS2,G,1.007,7999,breakthrough,G2,low,square,pfp/ml
G_MS2,MS2,G,1.009,230,breakthrough,G1,low,circle,pfp/ml
G_MS2,MS2,G,1.09,8384,breakthrough,G2,low,square,pfp/ml
G_MS2,MS2,G,1.181,76.51,breakthrough,G1,medium,circle,pfp/ml
G_MS2,MS2,G,1.22,61.62,breakthrough,,medium,unknown,pfp/ml
G_MS2,MS2,G,1.252,3017,breakthrough,G2,medium,square,pfp/ml
G_MS2,MS2,G,1.305,1499,breakthrough,G1,medium,circle,pfp/ml
G_MS2,MS2,G,1.859,5.74,breakthrough,G1,medium,circle,pfp/ml
G_MS2,MS2,G,1.921,149.1,breakthrough,G2,medium,square,pfp/ml
G_MS2,MS2,G,2.026,3.375,breakthrough,G1,medium,circle,pfp/ml
G_MS2,MS2,G,2.091,116.5,breakthrough,G2,medium,square,pfp/ml
G_MS2,MS2,G,2.235,3.329,breakthrough,G1,medium,circle,pfp/ml
G_MS2,MS2,G,2.296,91.03,breakthrough,G2,medium,square,pfp/ml
G_MS2,MS2,G,2.923,27.46,breakthrough,G2,medium,square,pfp/ml
G_MS2,MS2,G,3.091,24.71,breakthrough,G2,medium,square,pfp/ml
G_MS2,MS2,G,3.216,26.83,breakthrough,G2,medium,square,pfp/ml
G_MS2,MS2,G,3.923,15.26,breakthrough,G2,medium,square,pfp/ml
G_MS2,MS2,G,4.091,20,breakthrough,G2,medium,square,pfp/ml
G_MS2,MS2,G,0.056,2695,seeding,,low,filled,pfp/ml
G_MS2,MS2,G,0.088,8384,seeding,,low,filled,pfp/ml
G_MS2,MS2,G,0.121,3293,seeding,,low,filled,pfp/ml
G_MS2,MS2,G,0.172,6624,seeding,,low,filled,pfp/ml
G_MS2,MS2,G,0.266,5484,seeding,,low,filled,pfp/ml
G_MS2,MS2,G,0.338,8997,seeding,,low,filled,pfp/ml
G_MS2,MS2,G,0.421,7810,seeding,,low,filled,pfp/ml
G_MS2,MS2,G,0.506,8389,seeding,,low,filled,pfp/ml
G_MS2,MS2,G,0.858,3027,seeding,,low,filled,pfp/ml
G_MS2,MS2,G,0.935,6494,seeding,,low,filled,pfp/ml
G_MS2,MS2,G,1.007,7995,seeding,,low,filled,pfp/ml
G_MS2,MS2,G,1.09,8384,seeding,,low,filled,pfp/ml
