panel,organism,sand_group,day,concentration,series_type,experiment,confidence,shape,units
L_MS2,MS2,L,0.148,20.89,breakthrough,L1,medium,circle,pfp/ml
L_MS2,MS2,L,0.162,3.118,breakthrough,L4,medium,diamond,pfp/ml
L_MS2,MS2,L,0.177,211.3,breakthrough,L4,medium,diamond,pfp/ml
L_MS2,MS2,L,0.297,12.65,breakthrough,L2,medium,square,pfp/ml
L_MS2,MS2,L,0.301,17.37,breakthrough,L3,medium,triangle,pfp/ml
L_MS2,MS2,L,0.321,0.5224,breakthrough,L3,high,triangle,pfp/ml
L_MS2,MS2,L,0.343,132.4,breakthrough,L4,medium,diamond,pfp/ml
L_MS2,MS2,L,0.356,2.879,breakthrough,L3,medium,triangle,pfp/ml
L_MS2,MS2,L,0.37,0.2008,breakthrough,L4,medium,diamond,pfp/ml
L_MS2,MS2,L,0.551,0.2245,breakthrough,L3,low,triangle,pfp/ml
L_MS2,MS2,L,0.73,0.4341,breakthrough,L1,medium,circle,pfp/ml
L_MS2,MS2,L,0.788,2.595,breakthrough,L3,medium,triangle,pfp/ml
L_MS2,MS2,L,0.815,0.1785,breakthrough,L3,medium,triangle,pfp/ml
L_MS2,MS2,L,0.917,0.2057,breakthrough,L3,medium,triangle,pfp/ml
L_MS2,MS2,L,0.926,112.6,breakthrough,L4,medium,diamond,pfp/ml
L_MS2,MS2,L,0.928,17.37,breakthrough,L3,medium,triangle,pfp/ml
L_MS2,MS2,L,0.953,12.79,breakthrough,L3,medium,triangle,pfp/ml
L_MS2,MS2,L,0.966,1.879,breakthrough,L2,low,square,pfp/ml
L_MS2,MS2,L,0.969,82.69,breakthrough,L4,low,diamond,pfp/ml
L_MS2,MS2,L,1.113,2.486,breakthrough,L1,low,circle,pfp/ml
L_MS2,MS2,L,1.117,1168,breakthrough,L4,low,diamond,pfp/ml
L_MS2,MS2,L,1.119,39.86,breakthrough,L1,medium,circle,pfp/ml
L_MS2,MS2,L,1.122,1.772,breakthrough,L1,medium,circle,pfp/ml
L_MS2,MS2,L,1.151,68.23,breakthrough,L3,low,triangle,pfp/ml
L_MS2,MS2,L,1.161,2073,breakthrough,L4,low,diamond,pfp/ml
L_MS2,MS2,L,1.165,5.006,breakthrough,L4,low,diamond,pfp/ml
L_MS2,MS2,L,1.17,1.333e+04,breakthrough,L3,medium,triangle,pfp/ml
L_MS2,MS2,L,1.177,2.367e+05,breakthrough,L4,medium,diamond,pfp/ml
L_MS2,MS2,L,1.178,2.952e+04,breakthrough,L3,medium,triangle,pfp/ml
L_MS2,MS2,L,1.191,9.868,breakthrough,L3,low,triangle,pfp/ml
L_MS2,MS2,L,1.217,2495,breakthrough,L3,low,triangle,pfp/ml
L_MS2,MS2,L,1.302,1.449e+04,breakthrough,L2,medium,square,pfp/ml
L_MS2,MS2,L,1.304,551.5,breakthrough,L2,medium,square,pfp/ml
L_MS2,MS2,L,1.314,161.8,breakthrough,L1,medium,circle,pfp/ml
L_MS2,MS2,L,1.329,3639,breakthrough,L3,low,triangle,pfp/ml
L_MS2,MS2,L,1.342,1.916e+05,breakthrough,L4,medium,diamond,pfp/ml
L_MS2,MS2,L,1.362,12.49,breakthrough,L4,medium,diamond,pfp/ml
L_MS2,MS2,L,1.369,2849,breakthrough,L3,low,triangle,pfp/ml
L_MS2,MS2,L,1.412,9.137,breakthrough,L3,low,triangle,pfp/ml
L_MS2,MS2,L,1.468,330,breakthrough,L3,low,triangle,pfp/ml
L_MS2,MS2,L,1.732,416.4,breakthrough,L1,medium,circle,pfp/ml
L_MS2,MS2,L,1.802,1.555e+04,breakthrough,L4,low,diamond,pfp/ml
L_MS2,MS2,L,1.802,86.35,breakthrough,L2,high,square,pfp/ml
L_MS2,MS2,L,1.819,16.57,breakthrough,L1,high,circle,pfp/ml
L_MS2,MS2,L,1.852,4.512,breakthrough,L4,high,diamond,pfp/ml
L_MS2,MS2,L,1.911,3382,breakthrough,L4,medium,diamond,pfp/ml
L_MS2,MS2,L,1.927,2.9e+05,breakthrough,L4,medium,diamond,pfp/ml
L_MS2,MS2,L,1.962,2.669e+04,breakthrough,L1,medium,circle,pfp/ml
L_MS2,MS2,L,1.97,1871,breakthrough,L4,medium,diamond,pfp/ml
L_MS2,MS2,L,1.973,4.755e+05,breakthrough,L4,medium,diamond,pfp/ml
L_MS2,MS2,L,2.012,1.949e+05,breakthrough,L4,medium,diamond,pfp/ml
L_MS2,MS2,L,2.069,8330,breakthrough,L1,medium,circle,pfp/ml
L_MS2,MS2,L,2.096,1.192e+04,breakthrough,L3,medium,triangle,pfp/ml
L_MS2,MS2,L,2.097,9.827e+04,breakthrough,L4,medium,diamond,pfp/ml
L_MS2,MS2,L,2.156,4.435,breakthrough,L4,medium,diamond,pfp/ml
L_MS2,MS2,L,2.169,459.8,breakthrough,L3,high,triangle,pfp/ml
L_MS2,MS2,L,2.177,4.415e+04,breakthrough,L4,medium,diamond,pfp/ml
L_MS2,MS2,L,2.227,8.698,breakthrough,L3,medium,triangle,pfp/ml
L_MS2,MS2,L,2.254,3.864,breakthrough,L3,medium,triangle,pfp/ml
L_MS2,MS2,L,2.433,198.5,breakthrough,L3,high,triangle,pfp/ml
L_MS2,MS2,L,2.721,32.22,breakthrough,L3,medium,triangle,pfp/ml
L_MS2,MS2,L,2.736,128.1,breakthrough,L4,medium,diamond,pfp/ml
L_MS2,MS2,L,2.78,962.6,breakthrough,L3,medium,triangle,pfp/ml
L_MS2,MS2,L,2.803,189.8,breakthrough,L4,medium,diamond,pfp/ml
