panel,organism,sand_group,day,concentration,series_type,experiment,confidence,shape,units
W_ECWR1,ECWR1,W,0.574,1.496e+04,breakthrough,W3,low,triangle,cfp/ml
W_ECWR1,ECWR1,W,0.658,1.121e+04,breakthrough,W3,low,triangle,cfp/ml
W_ECWR1,ECWR1,W,0.74,5.493e+04,breakthrough,W3,high,triangle,cfp/ml
W_ECWR1,ECWR1,W,0.759,1.439e+04,breakthrough,W1,low,circle,cfp/ml
W_ECWR1,ECWR1,W,0.84,6981,breakthrough,W1,low,circle,cfp/ml
W_ECWR1,ECWR1,W,0.927,3957,breakthrough,W1,medium,circle,cfp/ml
W_ECWR1,ECWR1,W,1.009,2448,breakthrough,W1,medium,circle,cfp/ml
W_ECWR1,ECWR1,W,1.259,45.76,breakthrough,W1,medium,circle,cfp/ml
W_ECWR1,ECWR1,W,1.311,21.35,breakthrough,W1,medium,circle,cfp/ml
W_ECWR1,ECWR1,W,1.575,3617,breakthrough,W2,medium,square,cfp/ml
W_ECWR1,ECWR1,W,1.589,15.84,breakthrough,W1,medium,circle,cfp/ml
W_ECWR1,ECWR1,W,1.668,2437,breakthrough,W2,low,square,cfp/ml
W_ECWR1,ECWR1,W,1.759,4009,breakthrough,W2,medium,square,cfp/ml
W_ECWR1,ECWR1,W,1.841,1367,breakthrough,W2,medium,square,cfp/ml
W_ECWR1,ECWR1,W,1.927,714.9,breakthrough,W2,medium,square,cfp/ml
W_ECWR1,ECWR1,W,1.968,7.602,breakthrough,W3,high,triangle,cfp/ml
W_ECWR1,ECWR1,W,1.987,63.68,breakthrough,W1,high,circle,cfp/ml
W_ECWR1,ECWR1,W,2.336,32.35,breakthrough,W3,medium,triangle,cfp/ml
W_ECWR1,ECWR1,W,2.545,35.7,breakthrough,W1,low,circle,cfp/ml
W_ECWR1,ECWR1,W,2.567,6.582,breakthrough,W1,medium,circle,cfp/ml
W_ECWR1,ECWR1,W,2.586,50.64,breakthrough,W1,low,circle,cfp/ml
W_ECWR1,ECWR1,W,2.762,28.63,breakthrough,W1,low,circle,cfp/ml
W_ECWR1,ECWR1,W,2.773,6.565,breakthrough,W1,medium,circle,cfp/ml
W_ECWR1,ECWR1,W,2.968,5.503,breakthrough,W3,medium,triangle,cfp/ml
W_ECWR1,ECWR1,W,2.972,45.75,breakthrough,W1,medium,circle,cfp/ml
W_ECWR1,ECWR1,W,3.151,24.74,breakthrough,W3,medium,triangle,cfp/ml
W_ECWR1,ECWR1,W,3.515,14.35,breakthrough,W3,medium,triangle,cfp/ml
W_ECWR1,ECWR1,W,3.53,22.37,breakthrough,W2,medium,square,cfp/ml
W_ECWR1,ECWR1,W,3.586,4.114,breakthrough,W3,medium,triangle,cfp/ml
W_ECWR1,ECWR1,W,3.75,2.912,breakthrough,W3,low,triangle,cfp/ml
W_ECWR1,ECWR1,W,3.8,4.477,breakthrough,W3,low,triangle,cfp/ml
W_ECWR1,ECWR1,W,3.967,3.488,breakthrough,W3,medium,triangle,cfp/ml
W_ECWR1,ECWR1,W,3.985,20.1,breakthrough,W1,medium,circle,cfp/ml
W_ECWR1,ECWR1,W,4.004,26.1,breakthrough,W3,medium,triangle,cfp/ml
W_ECWR1,ECWR1,W,5.524,10.5,breakthrough,W2,medium,square,cfp/ml
W_ECWR1,ECWR1,W,5.576,15.76,breakthrough,W2,medium,square,cfp/ml
W_ECWR1,ECWR1,W,5.739,8.079,breakthrough,W3,low,triangle,cfp/ml
W_ECWR1,ECWR1,W,5.981,13.74,breakthrough,W2,medium,square,cfp/ml
W_ECWR1,ECWR1,W,5.994,9.065,breakthrough,W2,medium,square,cfp/ml
W_ECWR1,ECWR1,W,6.7,1.137,breakthrough,W3,high,triangle,cfp/ml
W_ECWR1,ECWR1,W,7.575,0.751,breakthrough,W3,high,triangle,cfp/ml
W_ECWR1,ECWR1,W,7.582,8.57,breakthrough,W2,high,square,cfp/ml
W_ECWR1,ECWR1,W,8.703,0.713,breakthrough,W3,high,triangle,cfp/ml
W_ECWR1,ECWR1,W,9.571,0.2978,breakthrough,W1,high,circle,cfp/ml
W_ECWR1,ECWR1,W,10.577,0.2866,breakthrough,W3,high,triangle,cfp/ml
W_ECWR1,ECWR1,W,0.107,6354,seeding,,low,filled,cfp/ml
W_ECWR1,ECWR1,W,0.111,1.516e+04,seeding,,low,filled,cfp/ml
W_ECWR1,ECWR1,W,0.678,1.364e+04,seeding,,low,filled,cfp/ml
W_ECWR1,ECWR1,W,0.786,4.386e+04,seeding,,low,filled,cfp/ml
W_ECWR1,ECWR1,W,0.84,6959,seeding,,low,filled,cfp/ml
W_ECWR1,ECWR1,W,0.926,3950,seeding,,low,filled,cfp/ml
W_ECWR1,ECWR1,W,0.928,1.926e+04,seeding,,low,filled,cfp/ml
W_ECWR1,ECWR1,W,1.01,2446,seeding,,low,filled,cfp/ml
W_ECWR1,ECWR1,W,1.674,3226,seeding,,low,filled,cfp/ml
W_ECWR1,ECWR1,W,1.841,1367,seeding,,low,filled,cfp/ml
W_ECWR1,ECWR1,W,1.927,714.9,seeding,,low,filled,cfp/ml
