panel,organism,sand_group,day,concentration,series_type,experiment,confidence,shape,units
W_MS2,MS2,W,0.093,201.7,breakthrough,W2,high,square,pfp/ml
W_MS2,MS2,W,0.128,2.801e+04,breakthrough,W2,low,square,pfp/ml
W_MS2,MS2,W,0.152,8.272e+04,breakthrough,W1,medium,circle,pfp/ml
W_MS2,MS2,W,0.171,5986,breakthrough,W3,high,triangle,pfp/ml
W_MS2,MS2,W,0.222,6.138e+04,breakthrough,W3,low,triangle,pfp/ml
W_MS2,MS2,W,0.233,2.745e+04,breakthrough,W3,low,triangle,pfp/ml
W_MS2,MS2,W,0.321,5.601e+04,breakthrough,W1,low,circle,pfp/ml
W_MS2,MS2,W,0.324,2.093e+04,breakthrough,W2,medium,square,pfp/ml
W_MS2,MS2,W,0.592,5817,breakthrough,W1,medium,circle,pfp/ml
W_MS2,MS2,W,0.765,1.266e+04,breakthrough,W3,medium,triangle,pfp/ml
W_MS2,MS2,W,0.813,5.858e+04,breakthrough,W1,low,circle,pfp/ml
W_MS2,MS2,W,0.86,1.442e+04,breakthrough,W3,low,triangle,pfp/ml
W_MS2,MS2,W,0.903,4.54e+04,breakthrough,W1,low,circle,pfp/ml
W_MS2,MS2,W,0.904,2.972e+04,breakthrough,W3,low,triangle,pfp/ml
W_MS2,MS2,W,0.968,1.478e+05,breakthrough,W3,high,triangle,pfp/ml
W_MS2,MS2,W,0.977,6.463e+04,breakthrough,W1,low,circle,pfp/ml
W_MS2,MS2,W,1.071,6.48e+04,breakthrough,W3,low,triangle,pfp/ml
W_MS2,MS2,W,1.156,2.95e+04,breakthrough,W3,low,triangle,pfp/ml
W_MS2,MS2,W,1.202,5600,breakthrough,W1,high,circle,pfp/ml
W_MS2,MS2,W,1.202,512.5,breakthrough,W3,medium,triangle,pfp/ml
W_MS2,MS2,W,1.209,1.345e+04,breakthrough,W3,medium,triangle,pfp/ml
W_MS2,MS2,W,1.28,534.7,breakthrough,W3,medium,triangle,pfp/ml
W_MS2,MS2,W,1.813,313.5,breakthrough,W1,medium,circle,pfp/ml
W_MS2,MS2,W,1.816,1.404e+04,breakthrough,W2,high,square,pfp/ml
W_MS2,MS2,W,1.836,27.81,breakthrough,W3,medium,triangle,pfp/ml
W_MS2,MS2,W,2.003,398.2,breakthrough,,medium,unknown,pfp/ml
W_MS2,MS2,W,2.003,20.64,breakthrough,W3,medium,triangle,pfp/ml
W_MS2,MS2,W,2.147,1641,breakthrough,W3,medium,triangle,pfp/ml
W_MS2,MS2,W,2.162,153.3,breakthrough,W3,medium,triangle,pfp/ml
W_MS2,MS2,W,2.193,9.269,breakthrough,W3,medium,triangle,pfp/ml
W_MS2,MS2,W,2.209,4868,breakthrough,W3,high,triangle,pfp/ml
W_MS2,MS2,W,2.215,204.2,breakthrough,W3,medium,triangle,pfp/ml
W_MS2,MS2,W,2.218,1304,breakthrough,W2,medium,square,pfp/ml
W_MS2,MS2,W,2.262,983.5,breakthrough,W3,medium,triangle,pfp/ml
W_MS2,MS2,W,2.824,104,breakthrough,W1,medium,circle,pfp/ml
W_MS2,MS2,W,2.824,2.792,breakthrough,W1,medium,circle,pfp/ml
W_MS2,MS2,W,2.983,59.24,breakthrough,W1,low,circle,pfp/ml
W_MS2,MS2,W,2.985,2.292,breakthrough,W3,medium,triangle,pfp/ml
W_MS2,MS2,W,3.002,83.98,breakthrough,W1,low,circle,pfp/ml
W_MS2,MS2,W,3.195,53.8,breakthrough,W1,low,circle,pfp/ml
W_MS2,MS2,W,3.199,0.8472,breakthrough,W3,high,triangle,pfp/ml
W_MS2,MS2,W,3.204,76.5,breakthrough,W1,low,circle,pfp/ml
W_MS2,MS2,W,3.812,40.85,breakthrough,W1,medium,circle,pfp/ml
W_MS2,MS2,W,3.813,824.1,breakthrough,W2,medium,square,pfp/ml
W_MS2,MS2,W,3.82,0.4154,breakthrough,W3,medium,triangle,pfp/ml
W_MS2,MS2,W,3.983,0.3759,breakthrough,W3,medium,triangle,pfp/ml
W_MS2,MS2,W,3.988,1698,breakthrough,W2,low,square,pfp/ml
W_MS2,MS2,W,3.994,61.49,breakthrough,W1,low,circle,pfp/ml
W_MS2,MS2,W,4.001,42.9,breakthrough,W1,low,circle,pfp/ml
W_MS2,MS2,W,4.005,1142,breakthrough,W1,low,circle,pfp/ml
W_MS2,MS2,W,4.194,1079,breakthrough,W2,low,square,pfp/ml
W_MS2,MS2,W,4.198,1599,breakthrough,W2,low,square,pfp/ml
W_MS2,MS2,W,4.201,40.73,breakthrough,W1,medium,circle,pfp/ml
W_MS2,MS2,W,4.204,0.4239,breakthrough,W3,medium,triangle,pfp/ml
W_MS2,MS2,W,5.808,1604,breakthrough,W2,medium,square,pfp/ml
