source,organism,experiment,katt1_per_day,kdet1_per_day,katt2_per_day,kdet2_per_day,mu_l_per_day,mu_s_per_day,lambda_per_day,log10_removal_Cx_C0
Table2,MS2,W1,23,0.0055,8.11,4.54,0.26,0.026,19,0.39
Table2,MS2,W2,20,0.17,176,147,0,0.056,5,0.082
Table2,MS2,W3,79,0.011,139,122,1.0,1.84,79,1.5
Table2,MS2,L1,132,0.0046,17.6,1.22,0.24,0.24,132,3.1
Table2,MS2,L2,38,0.019,20,2.5,0.34,0.45,38,1.4
Table2,MS2,L3,53,0.0079,30,4.0,0.34,0.34,53,1.8
Table2,MS2,L4,48,0.013,16,3.2,0.34,0.34,48,1.6
Table2,MS2,D1,110,0.0034,29,5.5,0.17,0.17,110,3.1
Table2,MS2,D2,89,0.00054,16,2.2,0.16,0.16,90,2.5
Table2,MS2,D3,129,0.032,55,13,0.36,0.36,121,3.3
Table2,MS2,G1,35,0.00019,0,0,0.23,0.23,35,1.5
Table2,MS2,G2,14,0.023,0,0,0.02,0.02,7,0.3
