source,quantity,organism,value,units,page,notes
Abstract/p1,log_removal_range_min,MS2,0.082,log10,2592,"Reported MS2 removal range 0.082-3.3 log10 (matches Table 2 min W2)"
Abstract/p1,log_removal_range_max,MS2,3.3,log10,2592,"Table 2 max is D3=3.3"
Abstract/p1,log_removal_range_min,ECWR1,0.94,log10,2592,"Reported ECWR1 range 0.94-4.5 (matches Table 3 min W2); note Table 3 actual max is D3=5.1"
Abstract/p1,log_removal_range_max,ECWR1,4.5,log10,2592,"Abstract states 4.5 (D1); Table 3 D3 shows higher 5.1 log10"
Sec3.3/p8,rmse_cross_validation,both,0.30,log10,2599,Leave-one-out cross-validation root mean square error
Sec3.3/p8,prediction_accuracy,both,0.6,log10,2599,Predicted log removal accurate within +/-0.6 log
Fig2/p8,bland_altman_mean_diff,both,-0.028,log10,2599,Mean observed-minus-predicted difference (Bland-Altman)
Fig2/p8,bland_altman_2sd,both,0.61,log10,2599,2 standard deviations limits of agreement
Sec3.3/p8,removal_increase_lower_flow_Weesperkarspel,MS2,0.06,log10,2599,"Lowering filtration 45->30 cm/h at Weesperkarspel"
Sec3.3/p8,removal_increase_lower_flow_Leiduin,MS2,0.26,log10,2599,"Lowering filtration 30->22 cm/h at Leiduin"
Sec3.3/p8,removal_increase_lower_flow_Weesperkarspel,ECWR1,0.07,log10,2599,"Lowering filtration 45->30 cm/h at Weesperkarspel"
Sec3.3/p8,removal_increase_lower_flow_Leiduin,ECWR1,0.27,log10,2599,"Lowering filtration 30->22 cm/h at Leiduin"
Sec2.2/p2594,particle_diameter,MS2,26,nm,2594,MS2 icosahedral phage diameter
Sec2.2/p2594,isoelectric_point_min,MS2,3.5,pH,2594,MS2 measured isoelectric point 3.5-4.1
Sec2.2/p2594,isoelectric_point_max,MS2,4.1,pH,2594,MS2 measured isoelectric point 3.5-4.1
