param,block,I_rms,I_max,D_min,I_min,asymmetry,flag+,flag-,clog_driver,source
velocity,forcing,0.7625324697161194,1.1054516828056544,0.48030948185367717,-0.5122303333061559,0.7563718457774447,CLOGGED,OK,true,Schijven2013 T1 filtration rate
temperature,forcing,0.01834643102330936,0.038386269766727946,0.00041057397290350517,-0.0002650960517951918,0.4704333437927125,OK,OK,false,Campos2006/Manriquez seasonal
influent_PAT,forcing,0.13600308848807852,0.4340998062553502,0.028162334480248685,0.0336444222095093,0.2475395788896085,OK,OK,false,Manriquez B.1 PAT (challenge multiplier)
dispersivity,transport,0.03299346128358565,0.11442035715688315,0.001324312464375088,-0.004527470763776825,0.24075046731432725,OK,OK,false,Schijven2013 T1 dispersivity
transport_P,transport,0.0034445195078500143,0.008431370701169779,-0.005510128145089277,0.003958863890443985,4.426251377357963,OK,OK,false,Lund phase transfer
attach_sand,transport,0.5314946020821172,0.6365492997204718,0.3811575774254118,0.42934153186287494,0.2987746937959342,OK,OK,false,Diehl2025/Lund b_sand
sand_pathogen,transport,0.4797681200537448,0.5135621129252769,0.9002514628428734,0.4781435239243073,1.7334701364052165,OK,OK,false,Schijven2013 T4 sticking α (geo-mean)
mu_HET,kinetics,0.00028494681461824336,0.0005813808961371052,6.772859388820551e-5,7.381827270646807e-5,0.3115607494818882,OK,OK,false,Campos2006 kgmaxa
mu_PHO,kinetics,0.001759062459472426,0.003423784748828132,0.0005137576982391368,0.0006765062613276098,0.09131794235802039,OK,OK,false,Campos2006 kgmaxb
d_HET,kinetics,0.0017434825763688868,0.0026911938312587074,0.00036998303033847213,-0.0008475703146112538,0.20297688077904943,OK,OK,false,Campos2006 T3 kdb
hydrolysis,kinetics,0.002808722887996031,0.005551566102898114,0.00034113138836849854,-0.0007570373403141969,0.39860955477659277,OK,OK,false,Campos2006 T3 kh
theta_growth,kinetics,0.0004209052933353954,0.0008337123510270431,8.23538490636877e-5,-0.00016788274672177944,0.27537387855853945,OK,OK,false,Campos2006 T2 θ_growth=1.047 (dev)
theta_death,kinetics,0.0051692852578839365,0.009299686252238823,0.0014106557214802473,0.00215288553211374,0.04513792413354148,OK,OK,false,Campos2006 T2 θ_death=1.066 (dev)
K_O2_HET,kinetics,0.0,0.0,0.0,0.0,0.0,OK,OK,false,O2 half-sat (Reichert)
K_DOM_HET,kinetics,4.099458333358665e-6,1.0888545591939869e-5,3.6368241085327213e-7,-7.448125682707591e-7,0.5976979651121468,OK,OK,false,Campos2006 T3 ksCd
K_HPO4_HET,kinetics,0.0,0.0,0.0,0.0,0.0,OK,OK,false,Campos2006 T3 ksp (P-limiting)
marker_growth,pathogen,0.00044089080383543624,0.000934446053682213,7.761568972014521e-5,8.973109395573921e-5,0.0988199967523885,OK,OK,false,Manriquez B.4 μ̂_PAT
inactivation,pathogen,0.00018270642923996023,0.0003551230364448729,1.0195942567625682e-5,-2.203366031033445e-5,0.33173575305497,OK,OK,false,"Schijven2013 µl,µs; Manriquez B.4"
bacterivory,pathogen,0.004973861539163588,0.010806291388281255,0.0066663676674202366,0.006678922911326986,0.5126344456622747,OK,OK,false,Manriquez B.4 p̂_PAT
beta_porosity,biofilm,0.336523187461341,0.3867551779908811,0.3174914831725255,-0.38079075103129667,0.22658609680522995,OK,CLOGGED,true,Lund β=0.99 (gap 1−β)
zeta_0,biofilm,0.07148351572920018,0.09624671071804829,0.03251401570326651,0.05405358870979113,0.16379132639378643,OK,CLOGGED,true,Cahn-Hilliard cohesion
detach_scale,biofilm,3.943185490541721e-6,1.0991343049994124e-5,4.3381069347869783e-7,-9.387840514842938e-7,0.6843303642887524,OK,OK,false,detachment-law scale
