t,dL_plus,dL_minus,s
0.0,0.0,0.0,0.0
0.025425087979628308,-3.5163950529160104e-8,1.758198014956136e-8,-3.804814630863225e-8
0.050850087979647,-4.98113604585626e-7,2.4905707113331843e-7,-5.389697142786885e-7
0.07627208797967241,-6.176805206759006e-7,3.088407365958723e-7,-6.683438115720971e-7
0.10169708797969784,-6.673337363816145e-7,3.3366748264374024e-7,-7.220697473058433e-7
0.12711908797972327,-7.135806411873169e-7,3.5679107435182544e-7,-7.721099829580665e-7
0.1525440879797487,-7.586611344700955e-7,3.793314429789696e-7,-8.20888124027108e-7
0.17796625517326972,-8.02859008108836e-7,4.0143050034080474e-7,-8.687112508174521e-7
0.20339168836904314,-8.473572014611186e-7,1.8760933750971986e-7,-7.465705466296214e-7
0.22881462613721548,-8.915727995884026e-7,4.4578766050795693e-7,-9.647016518310003e-7
0.2542383646405859,-9.347558811434453e-7,4.6737933423468547e-7,-1.011426760940904e-6
0.2796610312304986,-9.770802848474425e-7,4.885416567401712e-7,-1.0572227534732522e-6
0.30508555749434313,-1.0189000066995746e-6,5.094516442594177e-7,-1.102472673786499e-6
0.33050865157658715,-1.0602041716212263e-6,5.301038539795577e-7,-1.147164751010085e-6
0.35593399052433294,-8.804427495956446e-7,5.505108371384182e-7,-1.032214821661754e-6
0.38135645090337694,-1.1413777113999934e-6,5.70690881052105e-7,-1.2349964339961951e-6
0.40678050255182285,-1.1813100403434973e-6,5.906571630687196e-7,-1.2782041484903452e-6
0.43220448545216955,-1.2208295471216601e-6,6.104170436893597e-7,-1.3209651876039395e-6
0.457627864802588,-1.2599320842188177e-6,6.299684376376291e-7,-1.36327505532788e-6
0.4830517702049091,-1.2985988920855007e-6,6.493019618081242e-7,-1.405113451027855e-6
0.508474647346774,-1.336796543127683e-6,6.684009101198818e-7,-1.4464442109017205e-6
0.5338998566364,-1.3745004665555172e-6,4.6839660128306093e-7,-1.3293692303197642e-6
0.5593221986725556,-1.4116883820247672e-6,7.058470654630611e-7,-1.527478944498641e-6
0.58474692438669,-1.4484832459582542e-6,7.242452217393058e-7,-1.5672922927727731e-6
0.6101712927773859,-1.50861055681073e-6,8.863241270917754e-7,-1.7275801958595608e-6
0.6355938776313959,-2.186955864014184e-6,1.0934991208633171e-6,-2.3663480692711254e-6
0.661018253341017,-2.288475141443147e-6,8.173080245366116e-7,-2.240348985817711e-6
0.6864422625558833,-2.0311766041336554e-6,1.1762463055231542e-6,-2.3136665628977647e-6
0.7118654546276953,-2.410902025795636e-6,8.89969902218013e-7,-2.3810757805774416e-6
0.7372885627731576,-2.4652699594507332e-6,1.2326379283389421e-6,-2.667476685689173e-6
0.7627132815638541,-2.2113705219761748e-6,1.2579712097005036e-6,-2.5026010557195364e-6
0.7881369980210335,-2.2635631128919975e-6,1.2816761928435838e-6,-2.5573495825746773e-6
0.8135607063226723,-2.312235185208955e-6,1.3040637048544745e-6,-2.6086082375333864e-6
0.8389836538671198,-2.651347170645746e-6,1.3256749265555534e-6,-2.86881502856907e-6
0.8644071844952185,-2.7009590854998322e-6,1.3504818185405831e-6,-2.922496850356903e-6
0.8898322732085042,-2.3281510785899684e-6,1.4139715174277256e-6,-2.6993708558366307e-6
0.9152542732082944,-2.848820325362933e-6,1.4241775204704155e-6,-3.082316400956498e-6
0.9406792732080846,-2.8508755670064723e-6,9.985343122909107e-7,-2.776762271605659e-6
0.9661042732078748,-2.460682888671961e-6,1.4377368824924908e-6,-2.8121154355812212e-6
0.9915262732076651,-2.9035132905752548e-6,1.042142732277096e-6,-2.8461891886113783e-6
1.0169512732074553,-2.5271345223121244e-6,1.4653339711623303e-6,-2.8799572482205135e-6
1.0423732732072455,-2.958584863543834e-6,1.4790955288890295e-6,-3.2011097476065404e-6
1.0677982732070357,-2.5925400717330405e-6,1.4928780523448815e-6,-2.947006233782555e-6
1.0932232732068259,-2.625034399517112e-6,1.5067104010002552e-6,-2.980423866962583e-6
1.118645273206616,-3.0415882704692976e-6,1.136455018702076e-6,-3.0138211669534772e-6
1.1440702732064063,-2.6897893012356455e-6,1.5345653893161781e-6,-3.047227781507574e-6
1.1694922732061965,-3.097559817089035e-6,1.5485951932459052e-6,-3.3514923963058144e-6
1.1949153788878975,-3.0723547235211868e-6,1.5360670899133844e-6,-3.32427364828329e-6
1.220339988247677,-2.8500718274870884e-6,1.5660666453087835e-6,-3.1855705372907824e-6
1.2457644875934608,-2.8977933779761322e-6,1.580655465904801e-6,-3.230517968970967e-6
1.2711869915799836,-3.188262822917398e-6,1.3520238419939545e-6,-3.27512452784095e-6
1.2966112453676182,-2.988154194416559e-6,1.6124029357800218e-6,-3.318600478530484e-6
1.322033904907677,-3.2645606889425416e-6,1.3962112359600098e-6,-3.3620362713857097e-6
1.3474592686613305,-3.068981137166471e-6,1.4165685810474393e-6,-3.235640167064048e-6
1.3728817198750563,-3.1093643138024873e-6,1.6723967265486195e-6,-3.449311469815296e-6
1.3983059765809056,-3.149775249622344e-6,1.692749282244943e-6,-3.4931430637540424e-6
1.4237295360096678,-3.19022783740186e-6,1.7131792056090944e-6,-3.53706051220596e-6
1.4491544568210146,-3.230725802438883e-6,1.4969362048811163e-6,-3.4102872664798628e-6
1.474576807203824,-3.2712315137239933e-6,1.753779928614918e-6,-3.6247795441363227e-6
1.500000856620622,-3.3116834533553074e-6,1.537826260000763e-6,-3.498181807100831e-6
