t,dL_plus,dL_minus,s
0.0,0.0,0.0,0.0
0.025425087979628308,2.8909869465021387e-7,-1.445545556588712e-7,3.128146968431487e-7
0.050850087979647,7.913517381441526e-6,-3.95702277727894e-6,8.562784709829653e-6
0.07627208797967241,1.0031847266667171e-5,-5.01622368892507e-6,1.0854888671289087e-5
0.10169708797969784,9.083152699762564e-6,-4.5414448994196555e-6,9.828069695223933e-6
0.12711908797972327,7.89459521494118e-6,-3.946459244952294e-6,8.541515274092229e-6
0.1525440879797487,6.698090965873149e-6,-3.3472880701657104e-6,7.246209259571609e-6
0.1779669225014108,5.465404154081366e-6,-2.7298013463572524e-6,5.911591167274375e-6
0.20339033726698058,4.1906383499989985e-6,-2.312692316042142e-6,4.6911614505793364e-6
0.22881514565276395,3.1624323043044633e-6,-1.6924990110522842e-6,3.502092666260856e-6
0.2542391259082816,2.133388160185934e-6,-1.0594988242851322e-6,2.303181109307662e-6
0.2796622439239045,8.84602880779628e-7,-4.3342329975049054e-7,9.507549172063118e-7
0.3050856107824544,-3.5460248321017573e-7,1.8795874656696299e-7,-3.913751977890477e-7
0.33050899251847254,-1.3780346215797046e-6,8.066707685161489e-7,-1.5759318160473382e-6
0.355933292204259,-2.605935366217782e-6,1.2120504679913324e-6,-2.7540946145989008e-6
0.3813560082284848,-3.8271037334780544e-6,1.8243879295609666e-6,-4.076689497945859e-6
0.4067803886074942,-4.829535717676414e-6,2.221414527048271e-6,-5.086185475809563e-6
0.43220497017103715,-5.8225738952533135e-6,2.8254138106920124e-6,-6.2382044885180225e-6
0.45762894606907634,-6.805395611875209e-6,3.424974467369779e-6,-7.379652089892788e-6
0.4830526117779358,-7.777560761423885e-6,4.019394358789619e-6,-8.509704324760843e-6
0.5084749406670191,-8.950605043300808e-6,4.39578304428645e-6,-9.627383953870836e-6
0.5338995326611069,-9.899328662132945e-6,4.978093233465319e-6,-1.0731791394996249e-5
0.5593229711655582,-1.0835849050094826e-5,5.552261147789839e-6,-1.1821522656015027e-5
0.5847477792387767,-1.1759772366448651e-5,5.912334967217436e-6,-1.2747730806168773e-5
0.6101705454988243,-1.2670153395288875e-5,6.470085461174335e-6,-1.3806763839824858e-5
0.6355935726050443,-1.376346524628591e-5,6.819449082651197e-6,-1.4847434214699976e-5
0.6610178188094776,-1.4640032814650095e-5,7.164547382809694e-6,-1.5728679859770466e-5
0.6864410752370534,-1.5499728880929986e-5,7.694924392620539e-6,-1.6731405626445152e-5
0.7118653863716826,-1.6341429976751698e-5,8.212873023993872e-6,-1.7712185585830313e-5
0.7372885267011479,-1.7163826124377835e-5,8.533595614312883e-6,-1.8536771453020673e-5
0.7627135903874049,-1.7783552333672237e-5,9.028647547981716e-6,-1.9340913902292904e-5
0.7881369423609155,-1.8693092596555605e-5,9.58524303940056e-6,-2.0398507293293805e-5
0.8135595418812916,-3.5750028545888934e-5,1.8124053762169634e-5,-3.886193568913997e-5
0.8389837419243925,-5.073861998272644e-5,2.53289532047285e-5,-5.487115530499976e-5
0.8644083739740364,-5.1275703853104204e-5,2.572101808373528e-5,-5.554139445149239e-5
0.8898329622885562,-5.064741712462739e-5,2.517251307526669e-5,-5.469251864996727e-5
0.9152549622883465,-5.015797252772014e-5,2.5397634675683456e-5,-5.450184991185241e-5
0.9406799622881367,-5.0047503946049066e-5,2.4916574421940396e-5,-5.4075152053155006e-5
0.9661019622879269,-5.030627583813008e-5,2.5438868585858643e-5,-5.463857211595342e-5
0.9915269622877171,-5.0709393608572295e-5,2.526271217573317e-5,-5.4802290130454615e-5
1.0169519622875074,-5.08235692762149e-5,2.58791423580762e-5,-5.5329310848763984e-5
1.0423739622872976,-5.1733342072091126e-5,2.5784735326828123e-5,-5.591747292133382e-5
1.0677989622870878,-5.231424778889826e-5,2.607974959450976e-5,-5.654931563025256e-5
1.093220962286878,-5.2923098574575445e-5,2.6741211005043564e-5,-5.746565218317974e-5
1.1186459622866682,-5.355017640706894e-5,2.6706134595932962e-5,-5.78926909420366e-5
1.1440679622864585,-5.418733292650302e-5,2.737182265810656e-5,-5.883249465050382e-5
1.1694929622862487,-5.48280571415205e-5,2.7352750251619096e-5,-5.928092164116678e-5
1.1949158761315184,-5.555094417508677e-5,2.7653966731322477e-5,-6.0019656171142326e-5
1.2203396475947839,-5.6036989142527194e-5,2.8130790031055675e-5,-6.071421880818269e-5
1.245763990166623,-5.6423115359971465e-5,2.857398415762047e-5,-6.13124469819878e-5
1.271186580470465,-5.733466834456635e-5,2.855244919564015e-5,-6.195445927575172e-5
1.296610684472262,-5.775107778699384e-5,2.899159291408493e-5,-6.257161042695537e-5
1.3220358882347623,-5.815107686302223e-5,2.919310410631759e-5,-6.300550836748737e-5
1.347458660035761,-5.875021258799906e-5,2.9382720884374436e-5,-6.357447302979509e-5
1.3728832569956981,-5.90973687024654e-5,2.955782839375587e-5,-6.395120659987603e-5
1.3983057149894607,-5.963305919504114e-5,2.971590426009696e-5,-6.445165324264847e-5
1.4237306587615581,-5.9907774540679526e-5,2.985447929920726e-5,-6.47497792369105e-5
1.449155130087368,-6.006775387656926e-5,3.015698593111793e-5,-6.508339234302368e-5
1.4745771300871582,-6.063935668310094e-5,3.0292090884675993e-5,-6.559317423344329e-5
1.5000021300869484,-6.057113351987109e-5,3.040840757340124e-5,-6.562786637880882e-5
