t,dL_plus,dL_minus,s
0.0,0.0,0.0,0.0
0.025425087979628308,-3.2422164952805588e-9,1.6211085807071868e-9,-3.508147484679231e-9
0.050850087979647,-2.7638108401895067e-7,1.381906264974475e-7,-2.990502754274313e-7
0.07627208797967241,-6.822323599386948e-7,3.411166813460653e-7,-7.381902934799993e-7
0.10169708797969784,-7.912574664370453e-7,3.956294563067786e-7,-8.561579387692385e-7
0.12711908797972327,-8.36185119812427e-7,4.180934247699497e-7,-9.047707180812109e-7
0.1525440879797487,-8.759133651725648e-7,4.37957659915611e-7,-9.47757606131205e-7
0.1779679626103405,-9.154258124866033e-7,4.5771400336569457e-7,-9.905110013886474e-7
0.20339137687974695,-9.455882170605889e-7,4.7279530246413515e-7,-1.0231474348484768e-6
0.228813811121378,-6.717534031253081e-7,3.3587713588190127e-7,-7.26851790836987e-7
0.254237847669124,4.4754529415769184e-8,-2.2377928399208713e-8,4.8425831986178076e-8
0.27966256841966236,1.5772623340737368e-7,-7.88633855997034e-8,1.7066333503365968e-7
0.3050857598959072,-8.790282102211222e-8,4.3951663641905725e-8,-9.511290557187429e-8
0.3305090823719849,-4.4769252838250395e-7,2.2385168479965856e-7,-4.844167530477934e-7
0.35593418077514577,-1.3283601866254102e-6,4.52780410331588e-7,-1.2848213531779348e-6
0.3813571189785131,-1.1769830067231979e-6,5.884933867994491e-7,-1.2735220188708274e-6
0.4067803919003792,-1.3377093095456871e-6,6.688559727741072e-7,-1.447430891011365e-6
0.43220418830010765,-1.6049551705976661e-6,8.024799769135171e-7,-1.7365973742880872e-6
0.45762896621522553,-2.3467953513822692e-6,-8.871136574772898e-6,4.706317364026546e-6
0.4830518153507552,-3.610558840461131e-6,1.8052912373889285e-6,-3.906710024756194e-6
0.5084752173441189,-5.084340098715501e-6,2.542189376120163e-6,-5.5013781262694615e-6
0.5338995039971586,-6.202611527506008e-6,3.101331958355047e-6,-6.71137656388146e-6
0.5593225699415294,-6.386931698632026e-6,3.1934935109667606e-6,-6.910815969747888e-6
0.5847469273224518,-5.905741515599416e-6,2.952895509000797e-6,-6.3901558522130455e-6
0.6101710773757714,-5.369805237354086e-6,1.4225318345495452e-6,-4.899635504840816e-6
0.6355943655781653,-4.95342519180042e-6,2.4767311916917834e-6,-5.3597248837468385e-6
0.6610179884225046,-4.6291025861400215e-6,2.3145676004698856e-6,-5.008799271895328e-6
0.6864410507280708,-4.363615504487939e-6,2.1818221929148507e-6,-4.72153525324534e-6
0.7118663970256573,-3.905804173198746e-6,2.0703248166942245e-6,-4.310865828715679e-6
0.7372900307016965,-3.7200670319759155e-6,1.9761021528008627e-6,-4.108917517470994e-6
0.7627132394114646,-3.5621309351085984e-6,1.8967044888018592e-6,-3.9377173975523094e-6
0.7881368784627838,-3.6604944113616256e-6,1.599167018140335e-6,-3.7940437305487173e-6
0.8135597789967951,-3.550464486856697e-6,1.7752415131244703e-6,-3.841684817702714e-6
0.8389832954542245,-3.4609263261931034e-6,1.7304719344135577e-6,-3.7448022629284104e-6
0.8644086217890582,-3.1460624838608453e-6,1.6968293572450222e-6,-3.4934080213625285e-6
0.8898330784031491,-3.015707272568946e-6,1.6921819552262463e-6,-3.3960242209973478e-6
0.9152550784029393,-3.34904829002447e-6,1.6746686999358218e-6,-3.623845794122672e-6
0.9406800784027295,-2.928352180964211e-6,1.648204178250623e-6,-3.301287581894045e-6
0.9661020784025197,-3.2543685277719447e-6,1.6272946337103633e-6,-3.5213756171804327e-6
0.9915270784023099,-3.232143283238287e-6,1.28890019612804e-6,-3.261243503662592e-6
1.0169520784021002,-2.89275402076683e-6,1.6090162868742652e-6,-3.2473408490274956e-6
1.0423740784018904,-3.478655955069243e-6,1.374901364314951e-6,-3.501101537672954e-6
1.0677990784016806,-3.955720364157145e-6,2.2349352986061888e-6,-4.46561411225992e-6
1.0932210784014709,-4.9058872080287586e-6,2.45316708147314e-6,-5.308435564548521e-6
1.118646078401261,-4.419896883600671e-6,2.497422434633023e-6,-4.989791138330588e-6
1.1440680784010513,-5.019763618108186e-6,2.5100546132694745e-6,-5.431615710601928e-6
1.1694930784008415,-5.032653236147766e-6,1.9585266399779755e-6,-5.0430702686246624e-6
1.1949164971980566,-4.5981092815505775e-6,2.4890409420219584e-6,-5.112298240791603e-6
1.2203392356982787,-5.010963211926622e-6,2.5040130446907227e-6,-5.420909488910075e-6
1.2457639322619651,-4.604364939320149e-6,2.524032572059909e-6,-5.142051869576619e-6
1.2711870453894034,-5.0377306555215995e-6,2.1044434455053107e-6,-5.151989578358557e-6
1.2966121262713306,-4.649491454511434e-6,2.5083091916844324e-6,-5.1632617479692975e-6
1.3220344249181002,-5.023394692660332e-6,2.1563254055667613e-6,-5.179073290341525e-6
1.3474588604167272,-4.689358367393481e-6,2.517744835284219e-6,-5.1988260248390425e-6
1.3728830793627025,-4.711652226596641e-6,2.5272387425001597e-6,-5.221756051325929e-6
1.3983055487012672,-4.73668382072745e-6,2.5384624664503974e-6,-5.247908735126617e-6
1.423730026151331,-4.764652750122167e-6,2.551362668246071e-6,-5.277389581573526e-6
1.449154514478977,-4.795626195264191e-6,2.227333014914734e-6,-5.065994212445303e-6
1.4745772162284703,-4.829552695762018e-6,2.5815569737464017e-6,-5.345985583842021e-6
1.500000797906433,-4.866276721138263e-6,2.5983586997568864e-6,-5.384596251884766e-6
