param,block,I_rms,I_max,D_min,I_min,asymmetry,flag+,flag-,clog_driver,source
velocity,forcing,0.5149503795238412,1.0808697295315142,0.4272303460353967,-0.46264683640788284,0.7235416467557023,OK,OK,false,Schijven2013 T1 filtration rate
temperature,forcing,0.023371044742659747,0.04312830513047526,0.0006744075933715066,3.425106151709189e-6,0.5012753492851331,OK,OK,false,Campos2006/Manriquez seasonal
influent_PAT,forcing,0.14750285454499162,0.4341008445001658,0.03314580648295429,0.037809628952819536,0.2669547367507924,OK,OK,false,Manriquez B.1 PAT (challenge multiplier)
dispersivity,transport,0.03550079652159573,0.11555337968940135,0.0017559460557018403,-0.003935612639193737,0.235515979111005,OK,OK,false,Schijven2013 T1 dispersivity
transport_P,transport,0.003465649191772907,0.008568346574923827,-0.005396275231871583,0.0039337923666304024,4.3965578103400675,OK,OK,false,Lund phase transfer
attach_sand,transport,0.5597252850246432,0.6763187129699448,0.385769166053675,0.4317686909008066,0.299639606670236,OK,OK,false,Diehl2025/Lund b_sand
sand_pathogen,transport,0.48082046810260226,0.5144825804005685,0.901302165986499,0.47875491492784455,1.7328959054326978,OK,OK,false,Schijven2013 T4 sticking α (geo-mean)
mu_HET,kinetics,0.0003336474921914141,0.0005837218874528923,7.188496663873556e-5,7.85810429347723e-5,0.30870800003894217,OK,OK,false,Campos2006 kgmaxa
mu_PHO,kinetics,0.0020295239075671266,0.0034762198555602563,0.0005571306013871791,0.0007311130050065664,0.12313784395140936,OK,OK,false,Campos2006 kgmaxb
d_HET,kinetics,0.00206736029359669,0.0033724659333439736,0.00038370998828957115,-0.000885398423230091,0.18080262005029096,OK,OK,false,Campos2006 T3 kdb
hydrolysis,kinetics,0.003381371226177851,0.005763476856250179,0.0003644080075251299,-0.0008089656991147767,0.40430073222068125,OK,OK,false,Campos2006 T3 kh
theta_growth,kinetics,0.0005076112734331272,0.0008681313255592445,8.889547184709468e-5,-0.00018115529619622316,0.27494658980585446,OK,OK,false,Campos2006 T2 θ_growth=1.047 (dev)
theta_death,kinetics,0.006058947793642611,0.009517485937981976,0.0015094959934446872,0.0022860826259461352,0.04016115335313063,OK,OK,false,Campos2006 T2 θ_death=1.066 (dev)
K_O2_HET,kinetics,0.0,0.0,0.0,0.0,0.0,OK,OK,false,O2 half-sat (Reichert)
K_DOM_HET,kinetics,5.013614875601771e-6,1.248801802794752e-5,4.019821413514535e-7,-1.1371486238289183e-6,0.5696469644874506,OK,OK,false,Campos2006 T3 ksCd
K_HPO4_HET,kinetics,0.0,0.0,0.0,0.0,0.0,OK,OK,false,Campos2006 T3 ksp (P-limiting)
marker_growth,pathogen,0.0005439902104474331,0.0009474546024417793,8.764581874876054e-5,0.00010292702685945693,0.08638330483863921,OK,OK,false,Manriquez B.4 μ̂_PAT
inactivation,pathogen,0.0002254027564249661,0.00038231870338990094,1.1781361804463764e-5,-2.6058769914112224e-5,0.3329584592003475,OK,OK,false,"Schijven2013 µl,µs; Manriquez B.4"
bacterivory,pathogen,0.0048382423066353295,0.010751391502895736,0.006596844447087413,0.006594924600257632,0.5265893959746732,OK,OK,false,Manriquez B.4 p̂_PAT
beta_porosity,biofilm,0.566315113437821,0.7022138742723811,0.36920580855052815,-0.4219566649238988,0.3050899301537952,OK,OK,false,Lund β=0.99 (gap 1−β)
zeta_0,biofilm,0.04516855918514174,0.06260417543420083,0.027837256789872866,0.029878158733660034,0.1718773640101324,OK,OK,false,Cahn-Hilliard cohesion
kappa,biofilm,0.0,0.0,0.0,0.0,0.0,OK,OK,false,Cahn-Hilliard interfacial width (sub-grid)
zeta_1,biofilm,0.004843511983674489,0.010062747367890524,0.0025393293878688272,-0.00436746922306882,0.39092936816093954,OK,OK,false,Cahn-Hilliard stable-fraction parameter
detach_scale,biofilm,4.195475666436911e-6,6.910815969747888e-6,4.52780410331588e-7,-1.2848213531779348e-6,0.4239857277778734,OK,OK,false,detachment-law scale
light_att_water,light,0.0005547280238861704,0.001078551662304503,0.0002591506193541093,0.0002621758798624931,0.4173136145495373,OK,OK,false,Lund supernatant optical depth
light_att_sand,light,0.0009671368372656996,0.0016624915455592311,-2.3999802097107725e-5,-0.0001354169542353847,1.458425895739434,OK,OK,false,Lund sand-bed optical depth
attenuation_P,light,2.1783238343883836e-5,4.4190266789651754e-5,9.204557567310534e-6,1.0058582072012667e-5,0.35849670306233067,OK,OK,false,Lund biofilm self-shading (all particles)
