t,dL_plus,dL_minus,s
0.0,0.0,0.0,0.0
0.025424292512906666,1.9665691297632293e-10,-9.833556191551907e-11,2.1279209031301124e-10
0.05084848096560907,6.408331643115162e-10,-3.204174703341778e-10,6.933957618273557e-10
0.07627199167872521,1.6083383513887384e-9,-8.041620702670116e-10,1.7402511972326419e-9
0.10169508797617943,3.423707539695897e-9,-1.7118537698479486e-9,3.7045244167300688e-9
0.12711990734385914,6.309996525288852e-9,-3.1550095869192774e-9,6.827558690033198e-9
0.15254454079773952,-1.7156219667135986e-8,8.57810655841007e-9,-1.8563392413107046e-8
0.17796676235045628,-4.131155806330611e-9,2.065603355028145e-9,-4.470016855837764e-9
0.20339039143880022,-1.7992109191400374e-9,8.996181577458628e-10,-1.9467936627151135e-9
0.22881461021241425,-1.4152830851710263e-9,7.076565583519212e-10,-1.53137724790857e-9
0.2542375305133637,-2.4762560058011474e-9,1.2381371206071634e-9,-2.679368271690661e-9
0.2796617391866223,-4.598855456172668e-9,2.299438042752122e-9,-4.976066910747685e-9
0.3050857228434321,-7.477594149776778e-9,3.738797728011778e-9,-8.0909164693764e-9
0.3305091216107296,-1.0927180230102529e-8,5.463603132416228e-9,-1.182345093669557e-8
0.355933509444041,-1.4848053352806145e-8,7.4240397197888885e-9,-1.6065919113025145e-8
0.38135747138716547,-1.9177167843303922e-8,9.588596854015474e-9,-2.0750113038100753e-8
0.4067801148600199,-2.38636544032389e-8,1.1931847235940873e-8,-2.582099635048871e-8
0.43220444357133164,-2.886212509961572e-8,1.443107709719893e-8,-3.1229444056773836e-8
0.4576281987002784,-3.412945043593241e-8,1.7064751264839195e-8,-3.6928810457986266e-8
0.4830513359915159,-3.962574272528552e-8,1.981289994915092e-8,-4.287591751179028e-8
0.5084758174040779,-4.531410927738344e-8,2.2657088830091432e-8,-4.903085521646765e-8
0.5338997347193377,-5.1159276051593316e-8,2.557968070693306e-8,-5.5355456179259305e-8
0.5593227284634563,-5.712893113435369e-8,2.856451906951829e-8,-6.181475782289572e-8
0.5847467352282039,-6.319439441876407e-8,3.159725606161068e-8,-6.837772203285829e-8
0.6101697928750891,-6.93294647455267e-8,3.4664802896211544e-8,-7.501600710380769e-8
0.6355945976465963,-7.551264526173274e-8,3.7756395288024436e-8,-8.170634154369279e-8
0.6610181305920986,-8.172460887884148e-8,4.086238077766202e-8,-8.842782102747213e-8
0.6864408948083344,-8.795039173337127e-8,4.3975284420849636e-8,-9.516425937680894e-8
0.7118654282395742,-9.417906989689362e-8,4.708963702998448e-8,-1.019038314581017e-7
0.737288567924079,-1.0040217501838811e-7,5.020119452081584e-8,-1.0863736718768875e-7
0.7627133336469222,-1.0661716180748737e-7,5.330870261194276e-8,-1.1536212575389629e-7
0.7881361755360297,-1.1281823387998546e-7,5.6409237933485734e-8,-1.2207181718373588e-7
0.813559553137168,-1.2050438168154098e-7,6.025266116593819e-8,-1.3038864466090606e-7
0.8389845046574661,-1.9599239817202907e-7,9.799869353510626e-8,-2.120697450357083e-7
0.8644069253743674,-2.4965046613312225e-7,1.248257919805873e-7,-2.701275202556521e-7
0.8898327012215429,-2.7672815514079296e-7,1.3836508350184573e-7,-2.994264784481369e-7
0.9152547012213331,-2.932496062924006e-7,1.466258538751486e-7,-3.17303072496237e-7
0.9406797012211233,-3.099734708911228e-7,1.5498781151535024e-7,-3.3539866816659575e-7
0.9661017012209135,-3.2706857451547666e-7,1.635353926582317e-7,-3.5389595524098045e-7
0.9915267012207037,-3.445910581323375e-7,1.722966717909724e-7,-3.7285568232835653e-7
1.016951701220494,-3.623682314629617e-7,1.81185284650609e-7,-3.920909810774039e-7
1.0423737012202843,-3.80344869627125e-7,1.9017364254192426e-7,-4.1154211412081854e-7
1.0677987012200745,-3.9849298867633554e-7,1.9924773801693885e-7,-4.311787910688761e-7
1.0932207012198647,-4.167793418857757e-7,2.0839094556912574e-7,-4.50965036711157e-7
1.118645701219655,-4.351809598651668e-7,2.1759178681080016e-7,-4.7087600222844256e-7
1.144070701219445,-1.9790724017920702e-8,2.268352164436216e-7,-1.779030106292219e-7
1.1694927012192353,-4.7221972783451083e-7,2.361112405313559e-7,-5.109527876847566e-7
1.1949165372395267,-4.844099494583087e-7,2.4220643544958786e-7,-5.241429275676444e-7
1.220340362246696,-5.048053855899459e-7,2.5240419357364097e-7,-5.462112523864629e-7
1.2457638597010419,-5.258583322675925e-7,2.6293071292426973e-7,-5.689910219029201e-7
1.2711867627341897,-5.463135641092798e-7,2.7315836620411815e-7,-5.911240450054227e-7
1.2966103908872724,-5.664627430179703e-7,2.8323298714716394e-7,-6.12925908086883e-7
1.3220349663162563,-5.866323465608669e-7,2.9331783571451275e-7,-6.347498820990149e-7
1.347458077918772,-6.068399054370843e-7,3.0342165921459774e-7,-6.566149226174052e-7
1.372881507575708,-6.270637477601149e-7,3.1353362039965305e-7,-6.784975792586538e-7
1.3983064824794005,-6.472870709151035e-7,3.236453297306152e-7,-7.003796797249973e-7
1.423729441161581,-6.674826694141878e-7,3.337431740135788e-7,-7.222317795615543e-7
1.449152776815194,-6.876169185432435e-7,3.4381034577646297e-7,-7.440174996358553e-7
1.4745767370312273,-7.076436794040131e-7,3.5382377333581516e-7,-7.656869150663952e-7
1.5000006838648274,-7.275110325832834e-7,3.637574929882259e-7,-7.871838450601137e-7
