param,block,I_rms,I_max,D_min,I_min,asymmetry,flag+,flag-,clog_driver,source
velocity,forcing,3.3317929623006335,15.457689359166638,0.011308064660698853,-0.012571938180412728,0.4493108918997294,OK,OK,false,Schijven2013 T1 filtration rate
temperature,forcing,0.004373089814711653,0.014827448528817176,0.0004060368604460896,0.0003400494737979464,0.4315474213833346,OK,OK,false,Campos2006/Manriquez seasonal
influent_PAT,forcing,0.05639404514123438,0.4342944819032519,8.380124614146452e-5,8.940128275930088e-5,0.03911358872117725,OK,OK,false,Manriquez B.1 PAT (challenge multiplier)
dispersivity,transport,0.7450544338647211,4.571755739286313,0.0027999780808898762,0.0029548433703796765,0.19553818402963546,OK,OK,false,Schijven2013 T1 dispersivity
transport_P,transport,0.000639487017010602,0.001122558828765171,-0.00040128839343646014,0.00018106405127148832,3.457013977895309,OK,OK,false,Lund phase transfer
attach_sand,transport,0.10625034785013984,0.1996557242606622,0.011826918664265697,0.012971371434866711,0.395611290006207,OK,OK,false,Diehl2025/Lund b_sand
sand_pathogen,transport,0.4788879262410092,0.5023354513221284,0.9429742614547619,0.502214256769069,1.72512596276838,OK,OK,false,Schijven2013 T4 sticking α (geo-mean)
mu_HET,kinetics,8.009775550111309e-5,0.0002977572616019611,1.1549478809956548e-6,1.2492073654606233e-6,1.1864060052309695,OK,OK,false,Campos2006 kgmaxa
mu_PHO,kinetics,0.0035451603647676357,0.025924159744085677,4.465505100517339e-6,5.689330737156394e-6,0.32352889382409744,OK,OK,false,Campos2006 kgmaxb
d_HET,kinetics,0.0003808232295824292,0.0006466717511920011,8.449833957226843e-6,-1.749250021804452e-5,0.16748459390927706,OK,OK,false,Campos2006 T3 kdb
hydrolysis,kinetics,0.0004891795356273304,0.0010575354875167655,4.44281032395237e-6,-9.61099116981094e-6,0.3364809835322453,OK,OK,false,Campos2006 T3 kh
theta_growth,kinetics,0.0008360964058076747,0.006144200921259077,7.614758424853707e-7,-1.5297549435403908e-6,0.4800439622389851,OK,OK,false,Campos2006 T2 θ_growth=1.047 (dev)
theta_death,kinetics,0.001185864212834802,0.002533524684130792,1.6087429569945286e-5,2.365293120611407e-5,0.05224469630413881,OK,OK,false,Campos2006 T2 θ_death=1.066 (dev)
K_O2_HET,kinetics,0.0,0.0,0.0,0.0,0.0,OK,OK,false,O2 half-sat (Reichert)
K_DOM_HET,kinetics,0.0,0.0,0.0,0.0,0.0,OK,OK,false,Campos2006 T3 ksCd
K_HPO4_HET,kinetics,0.0,0.0,0.0,0.0,0.0,OK,OK,false,Campos2006 T3 ksp (P-limiting)
marker_growth,pathogen,2.703271507652578e-5,7.395253275898043e-5,1.6063325415354573e-6,-3.473805404473874e-6,0.34410840254407266,OK,OK,false,Manriquez B.4 μ̂_PAT
inactivation,pathogen,5.424144993261776e-6,1.4844481490857027e-5,6.035385013685585e-7,6.53056652161837e-7,0.33095790999620833,OK,OK,false,"Schijven2013 µl,µs; Manriquez B.4"
bacterivory,pathogen,0.0012234751440316292,0.0020672129198207306,0.0002433468009963788,0.0002565654243025745,0.5711748365354307,OK,OK,false,Manriquez B.4 p̂_PAT
beta_porosity,biofilm,0.1018802804167567,0.19872006281256674,0.011601511402886015,-0.012731084593835935,0.37050549433569135,OK,OK,false,Lund β=0.99 (gap 1−β)
zeta_0,biofilm,0.008114882496807198,0.013314950589213259,1.07962799533734e-6,-2.33625916873701e-6,0.22296351912851559,OK,OK,false,Cahn-Hilliard cohesion
kappa,biofilm,0.0,0.0,0.0,0.0,0.0,OK,OK,false,Cahn-Hilliard interfacial width (sub-grid)
zeta_1,biofilm,0.0010613457530405798,0.0016951094835918957,2.046155944360195e-6,2.2138312087459667e-6,0.36193514870425453,OK,OK,false,Cahn-Hilliard stable-fraction parameter
detach_scale,biofilm,3.46824403413984e-7,7.656869150663952e-7,3.738797728011778e-9,-8.0909164693764e-9,0.33727861874024256,OK,OK,false,detachment-law scale
light_att_water,light,1.1384054541174713e-5,3.1146035957176604e-5,4.7446106682391687e-8,-1.197325383480711e-7,0.4335803750137283,OK,OK,false,Lund supernatant optical depth
light_att_sand,light,0.0005254289928778712,0.0009492363487443358,1.1148749974945749e-7,-2.311732796879902e-6,1.305275370487703,OK,OK,false,Lund sand-bed optical depth
attenuation_P,light,1.5966676224539186e-6,1.177607141820512e-5,2.817476921906925e-9,-2.923974649245411e-9,0.35886620762882826,OK,OK,false,Lund biofilm self-shading (all particles)
