param,S_i,S_i_lo,S_i_hi,S_Ti,S_Ti_lo,S_Ti_hi
attach_sand,-0.012152112873808213,-0.10033973932309218,0.07709912112230803,0.2962446832448959,0.2312241405929511,0.3719073518498336
sand_pathogen,0.37891998166945706,0.21809342977153945,0.5344823818825017,0.5657763906876888,0.4360211998378092,0.7152727740709571
dispersivity,-0.000985858351375432,-0.010432277781989243,0.00904906335179284,0.003194640898848483,0.0019942943821580376,0.004811034198760711
temperature,0.0018441267132158217,-0.00032430543598403896,0.004161693927574157,0.00024811206988187745,2.4414497352796927e-5,0.0006476516113765238
bacterivory,-0.001644754874912455,-0.006569511763798623,0.0032110649975026933,0.0016354706653659468,0.0002243921506127224,0.003977380213361048
theta_death,9.918363741239164e-5,6.097730002450755e-6,0.00020159722545076982,3.3170858378058405e-7,2.2230016555295808e-7,4.676334327554432e-7
transport_P,-2.407527298124646e-5,-0.00019385517240897148,0.0001483788321563924,8.002112846702395e-7,2.895778257010932e-7,1.5579486383900877e-6
influent_PAT,0.010551556480267588,0.0011948041067436743,0.020048106285733194,0.002044029247045118,0.0015198547693939014,0.002684888730442506
velocity,0.17015408867012255,0.05333108193746178,0.2910613992672587,0.27367958793108926,0.21214316120022486,0.34480650504698823
beta_porosity,0.0007896713588323021,-0.019311103921954977,0.02254221950033172,0.010847169136671624,0.007610459113471627,0.014784715227460339
